Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;forma_commercio;forma_commercio_prev;forma_vendita;settore_storico_pe;superficie_somministrazione;tipo_eser_storico_pe
"VIA DELLE FORZE ARMATE N. 41 ; isolato:207; accesso: accesso esterno; (z.d. 7)";VIA ;DELLE FORZE ARMATE;41;6643;7;somministrazione/minuto;somministrazione;al banco;"BAR CAFFÈ;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI";32;bar caffè
"PLE GIOVANNI DALLE BANDE NERE N. 9 ; isolato:211; accesso: accesso esterno; (z.d. 6)";PLE ;GIOVANNI DALLE BANDE NERE;9;6614;6;;somministrazione;al tavolo;"Pizzerie e simili;Ristorante, trattoria, osteria;Ristorante;BAR CAFFÈ E SIMILI;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Pizzeria";143;ristorante
"VIA CARLONE CARLO ANTONIO N. 8 ; isolato:208; accesso: accesso esterno; (z.d. 7)";VIA ;CARLONE CARLO ANTONIO;8;6846;7;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI";22;bar caffè
"VIA CARLONE CARLO ANTONIO N. 7 ; isolato:206; accesso: accesso esterno; (z.d. 7)";VIA ;CARLONE CARLO ANTONIO;7;6846;7;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ E SIMILI;Bar gastronomici e simili;BAR CAFFÈ;BAR CAFFÈ E SIMILI;Tavola fredda";60;bar caffè
"VIA PRIMATICCIO FRANCESCO N. 182 ; isolato:209; accesso: accesso esterno; (z.d. 6)";VIA ;PRIMATICCIO FRANCESCO;182;6646;6;somministrazione/minuto;somministrazione;al banco;"BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000;Elettr.Automatici Meccaniche;BAR CAFFÈ";20;bar caffè
"VLE LEGIONI ROMANE N. 24 ; isolato:209; accesso: accesso esterno; (z.d. 6)";VLE ;LEGIONI ROMANE;24;6649;6;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Tavola calda;BAR CAFFÈ;BAR CAFFÈ E SIMILI";129;bar caffè
"VIA GIORGI FERDINANDO N. 15 ; isolato:044; accesso: accesso esterno; (z.d. 8)";VIA ;GIORGI FERDINANDO;15;6743;8;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ E SIMILI;Trattoria;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";188;bar caffè
"PZA SCOLARI ROSA N. 3 ; isolato:040; accesso: accesso esterno; (z.d. 8)";PZA ;SCOLARI ROSA;3;6579;8;solo somministrazione;somministrazione;misto;"Ristorante;Pizzeria;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";106;ristorante
"VIA NOVARA N. 228 ; isolato:113; accesso: accesso esterno; (z.d. 7)";VIA ;NOVARA;228;6624;7;solo somministrazione;somministrazione;al tavolo;"Pizzeria;Trattoria";74;trattoria
"VIA NOVARA N. 216 ; isolato:113; accesso: accesso esterno; (z.d. 7)";VIA ;NOVARA;216;6624;7;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÈ;Bar gastronomici e simili;BAR CAFFÈ E SIMILI";60;bar caffè
"VIA NOVARA N. 282 ; isolato:110; accesso: accesso esterno; (z.d. 7)";VIA ;NOVARA;282;6624;7;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Osteria";222;osteria
"PZA DUCA D'AOSTA N. 12 ; isolato:038; accesso: accesso esterno; (z.d. 2)";PZA ;DUCA D'AOSTA;12;1200;2;;somministrazione;misto;"BAR CAFFÈ;Cibi cotti preconfezionati;Pizzerie e simili;BAR CAFFÈ E SIMILI";63;bar caffè
"PZA DUCA D'AOSTA N. 12 ; isolato:038; accesso: accesso esterno; (z.d. 2)";PZA ;DUCA D'AOSTA;12;1200;2;solo somministrazione;somministrazione;al banco;Tav.calde,self service,fast f.;295;ristorante
"VLE DORIA ANDREA N. 14 ; isolato:031; accesso: accesso esterno; (z.d. 3)";VLE ;DORIA ANDREA;14;2230;2;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Prodotti di gastronomia;Bar gastronomici e simili;BAR CAFFÈ";34;bar caffè
"VIA LEPETIT ROBERTO N. 27 ; isolato:038; accesso: accesso esterno; (z.d. 2)";VIA ;LEPETIT ROBERTO;27;2096;2;solo somministrazione;somministrazione;al tavolo;Trattoria;70;trattoria
"VIA MACCHI MAURO N. 26 ; isolato:040; accesso: accesso esterno; (z.d. 2)";VIA ;MACCHI MAURO;26;2133;2;solo somministrazione;somministrazione;al banco;"Biliardo;Cibi cotti preconfezionati;Elettr.Automatici Meccaniche;Bar gastronomici e simili;Carte;BAR CAFFÈ;Bocce";52;bar caffè
"VIA MARCELLO BENEDETTO N. 34 ; isolato:043; accesso: accesso esterno; (z.d. 3)";VIA ;MARCELLO BENEDETTO;34;2128;3;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÈ E SIMILI;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante";46;ristorante
"VIA MARCELLO BENEDETTO N. 93 ; isolato:032; accesso: accesso esterno; (z.d. 3)";VIA ;MARCELLO BENEDETTO;93;2128;3;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;Ristorante;Ristorante, trattoria, osteria;Bar gastronomici e simili";63;ristorante
"VIA MARCELLO BENEDETTO N. 93 ; isolato:032; accesso: accesso esterno; (z.d. 3)";VIA ;MARCELLO BENEDETTO;93;2128;3;solo somministrazione;somministrazione;al tavolo;"Trattoria;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria";108;trattoria
"VIA VITRUVIO N. 30 ; isolato:041; accesso: accesso esterno; (z.d. 3)";VIA ;VITRUVIO;30;2134;3;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Trattoria;Pizzeria;Ristorante, trattoria, osteria";56;ristorante
"VIA SETTEMBRINI LUIGI N. 27 ; isolato:040; accesso: accesso esterno; (z.d. 2)";VIA ;SETTEMBRINI LUIGI;27;2127;2;solo somministrazione;somministrazione;al banco;"Cibi cotti preconfezionati;BAR CAFFÈ E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Bar gastronomici e simili";15;bar caffè
"VIA VITRUVIO N. 8 ; isolato:044; accesso: accesso esterno; (z.d. 3)";VIA ;VITRUVIO;8;2134;3;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFFÈ;Ristorante;Pizzeria";86;pizzeria
"VIA TADINO ALESSANDRO N. 52 ; isolato:044; accesso: accesso esterno; (z.d. 3)";VIA ;TADINO ALESSANDRO;52;2109;3;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Trattoria";78;trattoria
"VIA TADINO ALESSANDRO N. 48 ; isolato:044; accesso: accesso esterno; (z.d. 3)";VIA ;TADINO ALESSANDRO;48;2109;3;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Trattoria;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Cucina tipica lombarda";38;trattoria
"VIA SCARLATTI DOMENICO N. 3 ; isolato:044; accesso: accesso esterno; (z.d. 3)";VIA ;SCARLATTI DOMENICO;3;2136;3;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Ristorante;Genere Merceol.Autorizz.Sanit.;Pizzeria";136;ristorante
"VIA PERGOLESI GIOVANNI BATTISTA N. 19 ; isolato:024; accesso: accesso esterno; (z.d. 3)";VIA ;PERGOLESI GIOVANNI BATTISTA;19;2231;3;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFFÈ;Ristorante";87;ristorante
"VIA PERGOLESI GIOVANNI BATTISTA N. 21 ; isolato:024; accesso: accesso esterno; (z.d. 3)";VIA ;PERGOLESI GIOVANNI BATTISTA;21;2231;3;solo somministrazione;somministrazione;misto;"Pizzerie e simili;Cucina tipica lombarda;Trattoria;BAR CAFFÈ;Ristorante, trattoria, osteria;Birreria";70;trattoria
"PZA LUIGI DI SAVOIA N. 2 ; isolato:038; accesso: accesso esterno; (z.d. 2)";PZA ;LUIGI DI SAVOIA;2;2260;2;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Ristorante;Genere Merceol.Autorizz.Sanit.";180;ristorante
"VIA SCARLATTI DOMENICO N. 33 hotel michelangelo; isolato:039; accesso: accesso interno; (z.d. 2)";VIA ;SCARLATTI DOMENICO;33;2136;2;solo somministrazione;somministrazione;al tavolo;Ristorante;178;ristorante
"VIA SCARLATTI DOMENICO N. 7 ; isolato:044; accesso: accesso esterno; (z.d. 3)";VIA ;SCARLATTI DOMENICO;7;2136;3;solo somministrazione;somministrazione;al tavolo;"Bar pasticc.gelat.crem.creper.;Bar gastronomici e simili;BAR CAFFÈ E SIMILI;Pizzerie e simili;BAR CAFFÈ;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Pizzeria;Trattoria";113;trattoria
"VIA GAFFURIO FRANCHINO N. 1 ; isolato:023; accesso: accesso esterno; (z.d. 3)";VIA ;GAFFURIO FRANCHINO;1;2138;3;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Ristorante;Ristorante, trattoria, osteria";87;ristorante
"CSO BUENOS AIRES N. 49 ; isolato:044; accesso: accesso esterno; (z.d. 3)";CSO ;BUENOS AIRES;49;2129;3;somministrazione/minuto;somministrazione;al banco;"Tavola fredda;BAR CAFFÈ;Bar gastronomici e simili;BAR CAFFÈ E SIMILI";58;bar caffè
"PZA CAIAZZO N. 2 ; isolato:023; accesso: accesso esterno; (z.d. 3)";PZA ;CAIAZZO;2;2259;3;solo somministrazione;somministrazione;al banco;"Tavola fredda;Genere Merceol.Autorizz.Sanit.;Pizzeria;Tav.calde,self service,fast f.;BAR CAFFÈ E SIMILI;Pizzerie e simili;Tavola calda;BAR CAFFÈ";178;bar caffè
"PZA DUCA D'AOSTA N. 10 ; isolato:038; accesso: accesso esterno; (z.d. 2)";PZA ;DUCA D'AOSTA;10;1200;2;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Bar pasticc.gelat.crem.creper.;Pizzerie e simili;Pizzeria;Tavola calda;BAR CAFFÈ";223;bar caffè
"VIA GAFFURIO FRANCHINO N. 8 ; isolato:024; accesso: accesso esterno; (z.d. 3)";VIA ;GAFFURIO FRANCHINO;8;2138;3;somministrazione/minuto;somministrazione;al banco;"Ristorante;BAR CAFFÈ;Pizzeria;Tav.calde,self service,fast f.;Pizzerie e simili";49;pizzeria
"PZA LUIGI DI SAVOIA N. 2 ; isolato:038; accesso: accesso esterno; (z.d. 2)";PZA ;LUIGI DI SAVOIA;2;2260;2;somministrazione/minuto;somministrazione;al banco;"Bar pasticc.gelat.crem.creper.;Elettr.Automatici Meccaniche;BAR CAFFÈ;Bar gastronomici e simili";145;bar caffè
"VIA SCARLATTI DOMENICO N. 19 ; isolato:041; accesso: accesso esterno; (z.d. 3)";VIA ;SCARLATTI DOMENICO;19;2136;3;somministrazione/minuto;somministrazione;al banco;"Bar gastronomici e simili;Tavola fredda;Carte;BAR CAFFÈ";41;bar caffè
"VIA SCARLATTI DOMENICO N. 21 ; isolato:041; accesso: accesso esterno; (z.d. 3)";VIA ;SCARLATTI DOMENICO;21;2136;3;somministrazione/minuto;minuto;misto;"Bar pasticc.gelat.crem.creper.;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.";36;bar caffè
"VIA SETTEMBRINI LUIGI N. 30 ; isolato:041; accesso: accesso esterno; (z.d. 3)";VIA ;SETTEMBRINI LUIGI;30;2127;3;somministrazione/minuto;somministrazione;al banco;"Elettr.Automatici Meccaniche;Wine,birr.,pub enot.,caff.,the;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ;Giochi Leciti;GIOCHI DI SOCIETA'";44;bar caffè
"PZA BELGIOIOSO N. 2 ;pza belgioioso 002; isolato:363; accesso: accesso esterno; (z.d. 1)";PZA ;BELGIOIOSO;2;232;1;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Ristorante;Ristorante, trattoria, osteria";172;ristorante
"VIA MORONE GEROLAMO N. 6 ;via morone gerolamo 006; isolato:363; accesso: accesso esterno; (z.d. 1)";VIA ;MORONE GEROLAMO;6;200;1;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ E SIMILI;BAR CAFFÈ;Tavola fredda;Genere Merceol.Autorizz.Sanit.";30;bar caffè
"CSO MATTEOTTI GIACOMO N. 3 ;cso matteotti giacomo 003; isolato:362; accesso: accesso esterno; (z.d. 1)";CSO ;MATTEOTTI GIACOMO;3;218;1;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia";31;bar caffè
"VIA SAN PIETRO ALL'ORTO N. 3 ;via san pietro all'orto 003; isolato:361; accesso: accesso esterno; (z.d. 1)";VIA ;SAN PIETRO ALL'ORTO;3;213;1;solo somministrazione;somministrazione;al tavolo;"Pizzerie e simili;BAR CAFFÈ E SIMILI;Giochi Legge 388/2000;Pizzeria;Trattoria;Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";121;trattoria
"VIA SAN PAOLO N. 13 ;via san paolo 013; isolato:385; accesso: accesso esterno; (z.d. 1)";VIA ;SAN PAOLO;13;212;1;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;Bar gastronomici e simili;BAR CAFFÈ";89;bar caffè
"VIA HOEPLI ULRICO N. 6 ;via hoepli ulrico 006; isolato:385; accesso: accesso esterno; (z.d. 1)";VIA ;HOEPLI ULRICO;6;190;1;solo somministrazione;somministrazione;al tavolo;"Ristorante;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";163;ristorante
"PZA LIMA N. 1 ; isolato:044; accesso: accesso esterno; (z.d. 3)";PZA ;LIMA;1;2135;3;;somministrazione;al banco;"Tavola fredda;Tav.calde,self service,fast f.;Pizzeria;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola calda;BAR CAFFÈ";323;pizzeria
"VIA BATTISTOTTI SASSI LUISA N. 11 ; isolato:253; accesso: accesso esterno; (z.d. 4)";VIA ;BATTISTOTTI SASSI LUISA;11;3273;4;solo somministrazione;somministrazione;self service;"Pizzerie e simili;BAR CAFFÈ E SIMILI;Ristorante, trattoria, osteria";250;ristorante
"VIA FOSCOLO UGO N. 1 e civico 3;pza del duomo 025; isolato:471; accesso: accesso esterno; (z.d. 1)";VIA ;FOSCOLO UGO;1;205;1;solo somministrazione;somministrazione;misto;"Tav.calde,self service,fast f.;Ristorante;Bar pasticc.gelat.crem.creper.;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Bar gastronomici e simili;Ristorante, trattoria, osteria";1430;ristorante
"VIA MARGHERA N. 37 ; isolato:213; accesso: accesso esterno; (z.d. 7)";VIA ;MARGHERA;37;6280;7;solo somministrazione;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Tavola calda;Ristorante, trattoria, osteria;BAR CAFFÈ E SIMILI;Pizzeria;Pizzerie e simili;BAR CAFFÈ";251;ristorante
"VIA MARGHERA N. 24 ; isolato:212; accesso: accesso esterno; (z.d. 7)";VIA ;MARGHERA;24;6280;7;solo somministrazione;somministrazione;al tavolo;"Pizzeria;Genere Merceol.Autorizz.Sanit.;Cucina tipica lombarda;Osteria";96;pizzeria
"VIA MARGHERA N. 12 ; isolato:194; accesso: accesso esterno; (z.d. 7)";VIA ;MARGHERA;12;6280;7;;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;Trattoria;BAR CAFFÈ;BAR CAFFÈ E SIMILI;Tavola calda;Tav.calde,self service,fast f.";55;bar caffè
"VIA MARGHERA N. 3 ; isolato:214; accesso: accesso esterno; (z.d. 7)";VIA ;MARGHERA;3;6280;7;;somministrazione;al banco;"Pizzeria;Ristorante;Genere Merceol.Autorizz.Sanit.;Pizzerie e simili";193;pizzeria
"VIA MARGHERA N. 18 ; isolato:194; accesso: accesso esterno; (z.d. 7)";VIA ;MARGHERA;18;6280;7;solo somministrazione;somministrazione;al banco;"Trattoria;Ristorante, trattoria, osteria";64;trattoria
"VIA MARGHERA N. 43 ; isolato:213; accesso: accesso esterno; (z.d. 7)";VIA ;MARGHERA;43;6280;7;solo somministrazione;somministrazione;al tavolo;Ristorante, trattoria, osteria;80;ristorante
"VIA MARGHERA N. 34 ; isolato:212; accesso: accesso esterno; (z.d. 7)";VIA ;MARGHERA;34;6280;7;solo somministrazione;somministrazione;al tavolo;"Trattoria;LETT. GIOCHI LECITI + SOCIETA';Genere Merceol.Autorizz.Sanit.";89;trattoria
"VIA MARGHERA N. 16 ; isolato:194; accesso: accesso esterno; (z.d. 7)";VIA ;MARGHERA;16;6280;7;solo somministrazione;somministrazione;al banco;"Bar gastronomici e simili;BAR CAFFÈ;Tavola fredda;Genere Merceol.Autorizz.Sanit.";30;bar caffè
"VIA FARUFFINI FEDERICO N. 4 ; isolato:211; accesso: accesso esterno; (z.d. 7)";VIA ;FARUFFINI FEDERICO;4;6286;7;solo somministrazione;somministrazione;al banco;"Prodotti di gastronomia;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ E SIMILI";22;bar caffè
"VIA FARUFFINI FEDERICO N. 15 ; isolato:207; accesso: accesso esterno; (z.d. 7)";VIA ;FARUFFINI FEDERICO;15;6286;7;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Pizzeria;Trattoria";203;trattoria
"VIA FARUFFINI FEDERICO N. 7 ; isolato:209; accesso: accesso esterno; (z.d. 7)";VIA ;FARUFFINI FEDERICO;7;6286;7;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Prodotti di gastronomia";31;bar caffè
"VIA BUONARROTI MICHELANGELO N. 5 ; isolato:214; accesso: accesso esterno; (z.d. 7)";VIA ;BUONARROTI MICHELANGELO;5;6253;7;;somministrazione;misto;"Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;BAR CAFFÈ";37;bar caffè
"VIA BUONARROTI MICHELANGELO N. 9 ; isolato:194; accesso: accesso esterno; (z.d. 7)";VIA ;BUONARROTI MICHELANGELO;9;6253;7;;somministrazione;misto;"Genere Merceol.Autorizz.Sanit.;Bar pasticc.gelat.crem.creper.;BAR CAFFÈ";170;bar caffè
"VIA BUONARROTI MICHELANGELO N. 3 ; isolato:214; accesso: accesso esterno; (z.d. 7)";VIA ;BUONARROTI MICHELANGELO;3;6253;7;somministrazione/minuto;somministrazione;al banco;"BAR CAFFÈ E SIMILI;BAR CAFFÈ;Cibi cotti";50;bar caffè
"PZA DE ANGELI ERNESTO N. 7 ; isolato:218; accesso: accesso esterno; (z.d. 7)";PZA ;DE ANGELI ERNESTO;7;6276;7;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ;Cibi cotti preconfezionati;Tavola calda;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFFÈ E SIMILI";257;bar caffè
"PZA DE ANGELI ERNESTO N. 1 ; isolato:218; accesso: accesso esterno; (z.d. 7)";PZA ;DE ANGELI ERNESTO;1;6276;7;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Ristorante;Ristorante, trattoria, osteria";113;ristorante
"PZA DE ANGELI ERNESTO N. 12 ; isolato:209; accesso: accesso esterno; (z.d. 7)";PZA ;DE ANGELI ERNESTO;12;6276;7;solo somministrazione;somministrazione;al banco;"Tavola calda;Cibi cotti preconfezionati;BAR CAFFÈ;Bar gastronomici e simili";78;bar caffè
"PZA DE ANGELI ERNESTO N. 3 ; isolato:218; accesso: accesso esterno; (z.d. 7)";PZA ;DE ANGELI ERNESTO;3;6276;7;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Cibi cotti preconfezionati";94;bar caffè
"PZA DE ANGELI ERNESTO N. 2 ; isolato:212; accesso: accesso esterno; (z.d. 7)";PZA ;DE ANGELI ERNESTO;2;6276;7;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Tavola fredda;BAR CAFFÈ E SIMILI";21;bar caffè
"VIA MONTE ROSA N. 3 ; isolato:192; accesso: accesso esterno; (z.d. 7)";VIA ;MONTE ROSA;3;6388;7;solo somministrazione;somministrazione;misto;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;Bar gastronomici e simili";78;bar caffè
"VIA MONTE ROSA N. 20 ; isolato:162; accesso: accesso esterno; (z.d. 8)";VIA ;MONTE ROSA;20;6388;8;solo somministrazione;somministrazione;al tavolo;"Pizzerie e simili;Pizzerie e simili;Ristorante;Ristorante, trattoria, osteria;Pizzeria;Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria";113;ristorante
"VIA SAN SIRO N. 9 ; isolato:191; accesso: accesso esterno; (z.d. 7)";VIA ;SAN SIRO;9;6282;7;solo somministrazione;somministrazione;al tavolo;"Pizzerie e simili;Trattoria;BAR CAFFÈ;Pizzeria;Genere Merceol.Autorizz.Sanit.";110;pizzeria
"VIA SAN SIRO N. 20 ; isolato:175; accesso: accesso esterno; (z.d. 7)";VIA ;SAN SIRO;20;6282;7;solo somministrazione;somministrazione;al banco;"Trattoria;Ristorante, trattoria, osteria";104;trattoria
"VIA COLONNA VITTORIA N. 50 ; isolato:207; accesso: accesso esterno; (z.d. 7)";VIA ;COLONNA VITTORIA;50;6284;7;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Trattoria";116;trattoria
"VIA COLONNA VITTORIA N. 10 ; isolato:175; accesso: accesso esterno; (z.d. 7)";VIA ;COLONNA VITTORIA;10;6284;7;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÈ;Cibi cotti preconfezionati";74;bar caffè
"VIA PARMIGIANINO N. 19 ; isolato:208; accesso: accesso esterno; (z.d. 7)";VIA ;PARMIGIANINO;19;6599;7;somministrazione/minuto;somministrazione;al banco;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI";29;spaccio bevande analcoliche
"VIA PARMIGIANINO N. 16 ; isolato:207; accesso: accesso esterno; (z.d. 7)";VIA ;PARMIGIANINO;16;6599;7;solo somministrazione;somministrazione;misto;"Ristorante, trattoria, osteria;BAR CAFFÈ E SIMILI";114;bar caffè
"VIA PARMIGIANINO N. 14 ; isolato:207; accesso: accesso esterno; (z.d. 7)";VIA ;PARMIGIANINO;14;6599;7;solo somministrazione;somministrazione;al banco;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda";36;bar caffè
"VIA RAVIZZA CARLO N. 4 ; isolato:194; accesso: accesso esterno; (z.d. 7)";VIA ;RAVIZZA CARLO;4;6285;7;solo somministrazione;somministrazione;al tavolo;"Pizzerie e simili;Pizzeria;Tavola calda;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Trattoria;Ristorante, trattoria, osteria";90;trattoria
"VIA RAVIZZA CARLO N. 24 ; isolato:190; accesso: accesso esterno; (z.d. 7)";VIA ;RAVIZZA CARLO;24;6285;7;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÈ;BAR CAFFÈ E SIMILI";20;bar caffè
"VIA RAVIZZA CARLO N. 8 ; isolato:194; accesso: accesso esterno; (z.d. 7)";VIA ;RAVIZZA CARLO;8;6285;7;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Pizzerie e simili;Tavola calda;BAR CAFFÈ E SIMILI;Pizzeria;BAR CAFFÈ;Ristorante, trattoria, osteria";137;pizzeria
"VIA RAVIZZA CARLO N. 2 ; isolato:194; accesso: accesso esterno; (z.d. 7)";VIA ;RAVIZZA CARLO;2;6285;7;solo somministrazione;somministrazione;al tavolo;"Pizzeria;Disco-piano-americ.bar serali;Trattoria;Wine,birr.,pub enot.,caff.,the;Bar gastronomici e simili;Ristorante, trattoria, osteria";152;trattoria
"VIA SANZIO RAFFAELLO N. 4 ; isolato:191; accesso: accesso esterno; (z.d. 7)";VIA ;SANZIO RAFFAELLO;4;6283;7;solo somministrazione;somministrazione;misto;"BAR CAFFÈ E SIMILI;Pizzeria;Tavola fredda;Cibi cotti preconfezionati;BAR CAFFÈ;Ristorante, trattoria, osteria";73;bar caffè
"VIA SANZIO RAFFAELLO N. 1 ; isolato:193; accesso: accesso esterno; (z.d. 7)";VIA ;SANZIO RAFFAELLO;1;6283;7;solo somministrazione;somministrazione;al tavolo;"Genere Merceol.Autorizz.Sanit.;Trattoria;Pizzerie e simili;LETT. GIOCHI LECITI + SOCIETA';Ristorante, trattoria, osteria;Pizzeria";65;trattoria
"VIA SANZIO RAFFAELLO N. 24 ; isolato:211; accesso: accesso esterno; (z.d. 7)";VIA ;SANZIO RAFFAELLO;24;6283;7;solo somministrazione;somministrazione;al tavolo;"Ristorante, trattoria, osteria;Trattoria";127;trattoria
"VIA SANZIO RAFFAELLO N. 1 con ingresso da via san siro; isolato:194; accesso: accesso esterno; (z.d. 7)";VIA ;SANZIO RAFFAELLO;1;6283;7;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Bar pasticc.gelat.crem.creper.;BAR CAFFÈ;Cibi cotti preconfezionati;Bar gastronomici e simili";15;gelateria
"VIA SANZIO RAFFAELLO N. 30 ; isolato:211; accesso: accesso esterno; (z.d. 7)";VIA ;SANZIO RAFFAELLO;30;6283;7;solo somministrazione;somministrazione;al banco;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÈ E SIMILI;BAR CAFFÈ;Cibi cotti preconfezionati;Bar gastronomici e simili";33;bar caffè
"VIA SANZIO RAFFAELLO N. 14 ; isolato:191; accesso: accesso esterno; (z.d. 7)";VIA ;SANZIO RAFFAELLO;14;6283;7;solo somministrazione;somministrazione;al tavolo;"Pizzerie e simili;Trattoria;Pizzeria;Genere Merceol.Autorizz.Sanit.";172;pizzeria
"VIA SANZIO RAFFAELLO N. 22 con ingresso su via ravizza; isolato:191; accesso: accesso esterno; (z.d. 7)";VIA ;SANZIO RAFFAELLO;22;6283;7;;somministrazione;misto;"Ristorante;Ristorante, trattoria, osteria;Pizzeria;Genere Merceol.Autorizz.Sanit.;Pizzerie e simili";150;pizzeria
"VIA CORREGGIO N. 63 ; isolato:207; accesso: accesso esterno; (z.d. 7)";VIA ;CORREGGIO;63;6287;7;solo somministrazione;somministrazione;misto;"Bar gastronomici e simili;BAR CAFFÈ;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI";32;bar caffè
