Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;insegna;settore_merceologico;superficie_altri_usi;superficie_totale;superficie_vendita
"VIA MONTI VINCENZO N. 28 ; isolato:233; accesso: accesso esterno; (z.d. 1)";VIA ;MONTI VINCENZO;28;6155;1;;non alimentare;;14;14
"mm1 lotto codvia 9120 num.000 ; isolato:998; accesso: accesso interno; (z.d. 7)";;;;;;;non alimentare;;14;14
"VIA STATUTO N. 18 ; isolato:175; accesso: accesso esterno; (z.d. 1)";VIA ;STATUTO;18;1029;1;;non alimentare;;26;14
VLE TUNISIA N. 30 (z.d. 3);VLE ;TUNISIA;30;2121;2;;non alimentare;;14;14
"VIA MARGHERA N. 33 ; isolato:213; accesso: accesso esterno; (z.d. 7)";VIA ;MARGHERA;33;6280;7;gelateria marghera;alimentare;;182;14
"VIA DELL' ORSO N. 3 ;via dell' orso 003; isolato:311; accesso: accesso esterno; (z.d. 1)";VIA ;DELL' ORSO;3;123;1;;non alimentare;;14;14
"CSO GARIBALDI GIUSEPPE N. 127 ; isolato:004; accesso: accesso esterno; (z.d. 1)";CSO ;GARIBALDI GIUSEPPE;127;1010;1;les amis;non alimentare;;14;14
CSO GARIBALDI GIUSEPPE N. 127 (z.d. 1);CSO ;GARIBALDI GIUSEPPE;127;1010;1;;non alimentare;;14;14
"VLE ABRUZZI N. 91 ; isolato:009; accesso: accesso esterno; (z.d. 3)";VLE ;ABRUZZI;91;2177;3;;non alimentare;;14;14
"RIP DI PTA TICINESE N. 99 ; isolato:063; accesso: accesso esterno; (z.d. 6)";RIP ;DI PTA TICINESE;99;5150;6;;non alimentare;;14;14
"VIA BONCOMPAGNI CARLO N. 14 ; isolato:064; accesso: accesso esterno; (z.d. 4)";VIA ;BONCOMPAGNI CARLO;14;4182;4;glass man;non alimentare;;14;14
"VIA NOVARA N. 105 ; isolato:038; accesso: accesso esterno; (z.d. 7)";VIA ;NOVARA;105;6624;7;tacco lampo;non alimentare;;14;14
"VIA SAVONA loc. interno num.094/b; isolato:165; accesso: accesso interno; (z.d. 6)";;;;;;;non alimentare;;14;14
"VIA PECCHIO GIUSEPPE N. 8 ; isolato:040; accesso: accesso esterno; (z.d. 3)";VIA ;PECCHIO GIUSEPPE;8;2240;3;;non alimentare;;14;14
"PZA IMPERATORE TITO N. 8 ing.via pastrucci; accesso: accesso esterno; (z.d. 4)";PZA ;IMPERATORE TITO;8;3216;4;;non alimentare;;84;14
"VIA VOLTA ALESSANDRO N. 19 ; isolato:002; accesso: accesso esterno; (z.d. 1)";VIA ;VOLTA ALESSANDRO;19;1018;1;smoking;tabella speciale monopolio;;14;14
"CSO LODI N. 113 ; isolato:053; accesso: accesso esterno; (z.d. 4)";CSO ;LODI;113;4068;4;;non alimentare;;14;14
"VIA GALVANI LUIGI N. 12 int.hotel hillton; isolato:246; accesso: accesso interno; (z.d. 2)";VIA ;GALVANI LUIGI;12;1179;2;carpe tempus;non alimentare;;14;14
"CSO LODI N. 113 cso lodi angolo sacconi 2; isolato:053; accesso: accesso esterno; (z.d. 4)";CSO ;LODI;113;4068;4;;non alimentare;;14;14
"PZA OBERDAN GUGLIELMO N. 3 ; isolato:138; accesso: accesso esterno; (z.d. 3)";PZA ;OBERDAN GUGLIELMO;3;2108;3;;non alimentare;;14;14
"PZA TRENTO num.038; accesso: accesso esterno; (z.d. 5)";PZA ;TRENTO;;4220;5;i p;tabella speciale carburanti;;14;14
"VIA FANTOLI GAUDENZIO num.022; isolato:084; accesso: accesso esterno; (z.d. 4)";;;;;;autolavaggio;non alimentare;;14;14
"VIA SAN VIGILIO N. 45 ; isolato:101; accesso: accesso esterno; (z.d. 6)";VIA ;SAN VIGILIO;45;5424;6;crazy bar;"alimentare;tabella speciale monopolio";;80;14
"VIA TEODOSIO angolo via pacini num.000; accesso: accesso esterno; (z.d. 3)";VIA ;TEODOSIO;;2550;3;;non alimentare;;14;14
"VIA GOVONE GIUSEPPE N. 26 ; isolato:012; accesso: accesso esterno; (z.d. 8)";VIA ;GOVONE GIUSEPPE;26;7222;8;la bottega della musica;non alimentare;;14;14
"VIA SPARTACO N. 24 ; isolato:071; accesso: accesso esterno; (z.d. 4)";VIA ;SPARTACO;24;3186;4;chefren computers;non alimentare;;14;14
"VIA AGNELLO N. 19 ;via agnello 019; isolato:419; accesso: accesso esterno; (z.d. 1)";VIA ;AGNELLO;19;209;1;;non alimentare;;14;14
"PZA SAN MATERNO N. 14 ; isolato:012; accesso: accesso esterno; (z.d. 3)";PZA ;SAN MATERNO;14;2423;3;fiorista;non alimentare;;14;14
"VIA VALVASSORI PERONI CARLO N. 61 ; isolato:104; (z.d. 3)";VIA ;VALVASSORI PERONI CARLO;61;2580;3;bullo snc.;non alimentare;;14;14
"VIA MAC MAHON N. 1 ; isolato:014; accesso: accesso esterno; (z.d. 8)";VIA ;MAC MAHON;1;7221;8;ely pessoa fashion style;non alimentare;;14;14
"VIA OREFICI N. 26 ;via orefici 026; isolato:436; accesso: accesso esterno; (z.d. 1)";VIA ;OREFICI;26;547;1;filatelia;non alimentare;;0;14
"PLE GORINI PAOLO N. 2 ; isolato:162; accesso: accesso esterno; (z.d. 3)";PLE ;GORINI PAOLO;2;3170;3;bijoux lina;non alimentare;;18;14
"VIA LOMELLINA N. 52 ; isolato:233; accesso: accesso esterno; (z.d. 4)";VIA ;LOMELLINA;52;3280;4;briciola;non alimentare;;0;14
"VIA SPERONARI N. 7 ;via speronari 007; isolato:446; accesso: accesso esterno; (z.d. 1)";VIA ;SPERONARI;7;517;1;adamas srl.;non alimentare;;14;14
"VIA SFORZA ASCANIO N. 9 ; isolato:094; accesso: accesso esterno; (z.d. 5)";VIA ;SFORZA ASCANIO;9;5201;5;milos suulaki(tipic.greci;alimentare;;32;14
"PZA CAVOUR N. 5 ;pza cavour 005; isolato:016; accesso: accesso esterno; (z.d. 1)";PZA ;CAVOUR;5;237;1;;Tabella speciale Monopolio;39;53;14
"VIA BARACCHINI FLAVIO N. 1 arex srl;via baracchini flavio 001; isolato:422; accesso: accesso interno; (z.d. 1)";VIA ;BARACCHINI FLAVIO;1;356;1;creme - spaccio interno;non alimentare;;0;14
"CSO BUENOS AIRES N. 33 ; isolato:059; accesso: accesso esterno; (z.d. 3)";CSO ;BUENOS AIRES;33;2129;3;;non alimentare;;14;14
"mm1 rovere codvia 9105 num.000 ; accesso: accesso interno; (z.d. 2)";;;;;;;non alimentare;9;23;14
"VIA BORROMEI N. 9 ;via borromei 009; isolato:474; accesso: accesso esterno; (z.d. 1)";VIA ;BORROMEI;9;632;1;;non alimentare;31;45;14
"VIA MESSINA N. 23 ; isolato:065; accesso: accesso esterno; (z.d. 8)";VIA ;MESSINA;23;7211;8;;non alimentare;2;16;14
"ALZ NAVIGLIO GRANDE N. 2 ; isolato:057; accesso: accesso esterno; (z.d. 6)";ALZ ;NAVIGLIO GRANDE;2;5144;6;;alimentare;;14;14
"VIA SALIERI ANTONIO N. 7 ; isolato:039; accesso: accesso esterno; (z.d. 3)";VIA ;SALIERI ANTONIO;7;2569;3;;alimentare;12;26;14
"RIP DI PTA TICINESE N. 13 ; isolato:074; accesso: accesso esterno; (z.d. 6)";RIP ;DI PTA TICINESE;13;5150;6;;alimentare;;27;14
"VIA CASTALDI PANFILO N. 39 ; isolato:131; (z.d. 3)";VIA ;CASTALDI PANFILO;39;2119;3;;non alimentare;8;22;14
"VLE ABRUZZI N. 21 ; isolato:066; accesso: accesso esterno; (z.d. 3)";VLE ;ABRUZZI;21;2177;3;generi alimentari;alimentare;5;19;14
"VIA RIPAMONTI GIUSEPPE N. 591 ; isolato:223; (z.d. 5)";VIA ;RIPAMONTI GIUSEPPE;591;4066;5;;"non alimentare;tabella speciale carburanti";;2400;14
"VIA SAND GEORGE N. 4 ; isolato:101; (z.d. 9)";VIA ;SAND GEORGE;4;1554;9;vini veneti;alimentare;10;24;14
"VIA SPONTINI GASPARE N. 11 ; isolato:027; accesso: accesso esterno; (z.d. 3)";VIA ;SPONTINI GASPARE;11;2141;3;;alimentare;17;31;14
"VIA PROCACCINI GIULIO CESARE N. 9 ; isolato:065; accesso: accesso esterno; (z.d. 8)";VIA ;PROCACCINI GIULIO CESARE;9;7204;8;int.stazione carburanti;"alimentare;non alimentare";461;475;14
"VIA GIAMBELLINO N. 54 ; isolato:148; (z.d. 6)";VIA ;GIAMBELLINO;54;5136;6;;non alimentare;;14;14
"VIA DELLE FORZE ARMATE N. 361 ; isolato:148; (z.d. 7)";VIA ;DELLE FORZE ARMATE;361;6643;7;;alimentare;;14;14
"PZA DEL DUOMO N. 19 ang. via mengoni;pza del duomo 019; isolato:453; (z.d. 1)";PZA ;DEL DUOMO;19;1;1;;non alimentare;;14;14
"PLE LAGOSTA N. 7 int.mercato comunale coperto; accesso: accesso esterno; (z.d. 9)";PLE ;LAGOSTA;7;1155;9;;non alimentare;;14;14
"VIA SANT' ORSOLA N. 10 ;via sant' orsola 010; isolato:451; (z.d. 1)";VIA ;SANT' ORSOLA;10;649;1;;non alimentare;90;104;14
"VLE SARCA N. 73 ; isolato:154; (z.d. 9)";VLE ;SARCA;73;1427;9;;alimentare;;14;14
"CSO VENEZIA N. 23 altri locali;cso venezia 023; isolato:186; accesso: accesso esterno; (z.d. 1)";CSO ;VENEZIA;23;238;1;;non alimentare;;23;14
"VIA TALLONE CESARE N. 16 ; isolato:193; (z.d. 3)";VIA ;TALLONE CESARE;16;3309;3;;non alimentare;;14;14
VIA PRIMATICCIO FRANCESCO N. 217 (z.d. 7);VIA ;PRIMATICCIO FRANCESCO;217;6646;7;;alimentare;;39;14
"VLE COL DI LANA N. 3 vicinato con distr.automatici; (z.d. 5)";VLE ;COL DI LANA;3;5198;5;;"alimentare;non alimentare";4;18;14
VIA SFORZA ASCANIO N. 49 (z.d. 5);VIA ;SFORZA ASCANIO;49;5201;5;;alimentare;;31;14
VIA SAN SENATORE N. 14 (z.d. 1);VIA ;SAN SENATORE;14;404;1;;non alimentare;;32;14
VIA PRINCIPE EUGENIO N. 23 (z.d. 8);VIA ;PRINCIPE EUGENIO;23;7223;8;;"alimentare;non alimentare";;35;14
"ff cadorna codvia 9501 num.000 ; ()";;;;;;;non alimentare;;14;14
VLE ZARA N. 116 (z.d. 2);VLE ;ZARA;116;1170;2;;non alimentare;;14;14
VLE GIOVANNI DA CERMENATE N. 76 (z.d. 5);VLE ;GIOVANNI DA CERMENATE;76;5261;5;;non alimentare;;354;14
VIA WATT GIACOMO N. 16 (z.d. 6);VIA ;WATT GIACOMO;16;5292;6;;alimentare;13;27;14
CSO BUENOS AIRES N. 51 (z.d. 3);CSO ;BUENOS AIRES;51;2129;3;;non alimentare;;14;14
CSO DI PORTA VITTORIA N. 58 (z.d. 1);CSO ;DI PORTA VITTORIA;58;3016;1;;non alimentare;;16;14
"VIA SEBASTIANO DEL PIOMBO N. 15 ; isolato:212; accesso: accesso esterno; (z.d. 8)";VIA ;SEBASTIANO DEL PIOMBO;15;6397;8;;non alimentare;;14;14
"VIA DEI PICCOLOMINI N. 5 postazione 2 interno stadio san siro; (z.d. 7)";VIA ;DEI PICCOLOMINI;5;6513;7;;Non Alimentare;;14;14
VIA MONTI VINCENZO N. 32 (z.d. 1);VIA ;MONTI VINCENZO;32;6155;1;;Non Alimentare;20;34;14
"VIA NUVOLONE PANFILO N. 7 ; isolato:238; accesso: accesso esterno; (z.d. 8)";VIA ;NUVOLONE PANFILO;7;7394;8;;non alimentare;;14;14
VIA CORRENTI CESARE N. 21 (z.d. 1);VIA ;CORRENTI CESARE;21;555;1;;"Alimentare;Non Alimentare";;14;14
VIA VEGLIA N. 66 (z.d. 9);VIA ;VEGLIA;66;1337;9;;Alimentare;;44;14
VIA PADOVA N. 205 (z.d. 2);VIA ;PADOVA;205;2275;2;;Non Alimentare;8;22;14
VIA MURAT GIOACCHINO N. 85 (z.d. 9);VIA ;MURAT GIOACCHINO;85;1316;9;;"Alimentare;Non Alimentare";8;22;14
VLE DELLE RIMEMBRANZE DI LAMBRATE N. 15 (z.d. 3);VLE ;DELLE RIMEMBRANZE DI LAMBRATE;15;2664;3;;Alimentare;117;131;14
PZA BONOMELLI GEREMIA N. 10 (z.d. 5);PZA ;BONOMELLI GEREMIA;10;4150;5;;;143;157;14
VIA MACCHI MAURO N. 26 (z.d. 2);VIA ;MACCHI MAURO;26;2133;2;;Non Alimentare;;14;14
VIA LORENTEGGIO N. 238 (z.d. 6);VIA ;LORENTEGGIO;238;5132;6;;Alimentare;39;53;14
VIA BRUNELLESCHI FILIPPO N. 3 (z.d. 6);VIA ;BRUNELLESCHI FILIPPO;3;5384;6;;Non Alimentare;15;29;14
VIA SANT' AMPELLIO N. 4 (z.d. 5);VIA ;SANT' AMPELLIO;4;5253;5;;Alimentare;12;26;14
CSO DI PORTA VITTORIA N. 46 (z.d. 1);CSO ;DI PORTA VITTORIA;46;3016;1;;"Alimentare;Non Alimentare";100;114;14
VIA PIETRO DA CEMMO N. 2 (z.d. 8);VIA ;PIETRO DA CEMMO;2;7249;8;;Alimentare;6;20;14
VIA TIRABOSCHI GEROLAMO N. 2 (z.d. 4);VIA ;TIRABOSCHI GEROLAMO;2;4072;4;;Non Alimentare;2;16;14
VIA TOLMEZZO N. 12/1 (z.d. 3);VIA ;TOLMEZZO;12/1;2392;3;;Non Alimentare;18;32;14
VIA BORGOSPESSO N. 6 (z.d. 1);VIA ;BORGOSPESSO;6;229;1;;Non Alimentare;7;21;14
CSO DI PORTA TICINESE N. 40 (z.d. 1);CSO ;DI PORTA TICINESE;40;541;1;;Alimentare;14;28;14
VIA LOMBARDINI ELIA N. 2 dati catastali fg 518 map 46 sub 3 (z.d. 6);VIA ;LOMBARDINI ELIA;2;5146;6;;"Alimentare;Non Alimentare";13;27;14
VIA BRONZINO N. 15 esercizio di vicinato all'interno di una palestra (z.d. 3);VIA ;BRONZINO;15;2191;3;;Non Alimentare;186;200;14
VIA ORTI N. 7 /9 foglio 477 mappale 279 subalterno 2 (z.d. 1);VIA ;ORTI;7;4031;1;;Non Alimentare;;14;14
PZA MENTANA N. 8 (z.d. 1);PZA ;MENTANA;8;560;1;;Non Alimentare;0;14;14
VIA CASALE N. 7 (z.d. 6);VIA ;CASALE;7;5118;6;;Alimentare;11;25;14
VIA BETTI UGO N. 46E (z.d. 8);VIA ;BETTI UGO;46E;7517;8;;Alimentare;18;32;14
VIA SANT' ANATALONE N. 1 (z.d. 6);VIA ;SANT' ANATALONE;1;6587;6;;"Alimentare;Non Alimentare";;54;14
VIA DEI PIATTI N. 4 f.436 - m.147 - s.60 (z.d. 1);VIA ;DEI PIATTI;4;532;1;;Non Alimentare;0;14;14
VIA VIGEVANO N. 9 (z.d. 6);VIA ;VIGEVANO;9;5116;6;;Alimentare;33;47;14
VIA SAMMARTINI GIOVANNI BATTISTA N. 39 (z.d. 2);VIA ;SAMMARTINI GIOVANNI BATTISTA;39;1202;2;;Alimentare;12;26;14
"VIA TONALE N. 5 ; isolato:242; accesso: accesso esterno; (z.d. 2)";VIA ;TONALE;5;1213;2;;non alimentare;5;20;15
"VIA PRINA GIUSEPPE N. 4 ; isolato:061; accesso: accesso esterno; (z.d. 8)";VIA ;PRINA GIUSEPPE;4;7135;8;;non alimentare;5;20;15
"VIA CAPECELATRO ALFONSO N. 20 ; isolato:277; accesso: accesso esterno; (z.d. 7)";VIA ;CAPECELATRO ALFONSO;20;6575;7;merceria;non alimentare;12;27;15
"VIA TABACCHI ODOARDO N. 1 ; isolato:114; accesso: accesso esterno; (z.d. 5)";VIA ;TABACCHI ODOARDO;1;5223;5;;alimentare;;15;15
"VIA CABELLA BARTOLOMEO N. 51 ; isolato:151; accesso: accesso esterno; (z.d. 7)";VIA ;CABELLA BARTOLOMEO;51;6778;7;;alimentare;13;28;15
"VIA SAN GREGORIO N. 6 ; isolato:078; accesso: accesso esterno; (z.d. 3)";VIA ;SAN GREGORIO;6;2123;3;macelleria;alimentare;5;20;15
"VIA FUCINI RENATO N. 18 ; isolato:110; accesso: accesso esterno; (z.d. 3)";VIA ;FUCINI RENATO;18;2199;3;;alimentare;5;20;15
"VIA TAORMINA N. 2 ; isolato:022; accesso: accesso esterno; (z.d. 9)";VIA ;TAORMINA;2;1331;9;lucas bar;alimentare;15;30;15
"PLE NIZZA N. 5 ; isolato:007; accesso: accesso esterno; (z.d. 9)";PLE ;NIZZA;5;1521;9;;"alimentare;non alimentare";30;45;15
"VLE LUNIGIANA N. 3 ; isolato:199; accesso: accesso esterno; (z.d. 2)";VLE ;LUNIGIANA;3;1214;2;;alimentare;;15;15
"VIA GOLDONI CARLO N. 77 ; isolato:182; accesso: accesso esterno; (z.d. 3)";VIA ;GOLDONI CARLO;77;3183;3;;alimentare;3;18;15
"VIA DEI PANIGAROLA N. 2 ; isolato:126; accesso: accesso esterno; (z.d. 4)";VIA ;DEI PANIGAROLA;2;4284;4;;alimentare;15;30;15
"CSO INDIPENDENZA N. 20 ; isolato:007; accesso: accesso esterno; (z.d. 4)";CSO ;INDIPENDENZA;20;3118;4;morris cafe;alimentare;15;30;15
"VIA SCIESA AMATORE N. 15 ; isolato:056; accesso: accesso esterno; (z.d. 4)";VIA ;SCIESA AMATORE;15;3072;4;;"alimentare;non alimentare";30;45;15
"VIA NOVARA N. 8 ; isolato:271; accesso: accesso esterno; (z.d. 7)";VIA ;NOVARA;8;6624;7;dolce salato;alimentare;9;24;15
"VIA MECENATE N. 69 centro strada; isolato:082; pto strada:cs; accesso: accesso esterno; (z.d. 4)";VIA ;MECENATE;69;3323;4;tamoil;tabella speciale carburanti;150;165;15
"VIA OMBONI GIOVANNI N. 1 ; isolato:082; accesso: accesso esterno; (z.d. 3)";VIA ;OMBONI GIOVANNI;1;2151;3;;non alimentare;;15;15
"PZA SAN FEDELE N. 2 ;pza san fedele 002; isolato:418; accesso: accesso esterno; (z.d. 1)";PZA ;SAN FEDELE;2;203;1;;non alimentare;6;21;15
"CSO DI PORTA ROMANA N. 1 ;cso di porta romana 001; isolato:394; accesso: accesso esterno; (z.d. 1)";CSO ;DI PORTA ROMANA;1;402;1;;non alimentare;9;24;15
"VIA GIAMBELLINO N. 84 ; isolato:144; accesso: accesso esterno; (z.d. 6)";VIA ;GIAMBELLINO;84;5136;6;;non alimentare;8;23;15
"VIA LAGHETTO N. 7 ;via laghetto 007; isolato:321; accesso: accesso esterno; (z.d. 1)";VIA ;LAGHETTO;7;326;1;;non alimentare;2;17;15
"PZA NAPOLI N. 7 ; isolato:013; accesso: accesso esterno; (z.d. 6)";PZA ;NAPOLI;7;5131;6;;non alimentare;15;30;15
"mm1 cairol codvia 9114 num.000 ; accesso: accesso interno; (z.d. 1)";;;;;;;tabella speciale monopolio;;15;15
"VIA BALBO CESARE N. 36 ; isolato:146; accesso: accesso esterno; (z.d. 5)";VIA ;BALBO CESARE;36;4208;5;;non alimentare;65;80;15
"PZA FERRAVILLA EDOARDO N. 3 ; isolato:168; accesso: accesso esterno; (z.d. 3)";PZA ;FERRAVILLA EDOARDO;3;3125;3;;non alimentare;;15;15
"VIA CADORE N. 30 ; isolato:071; accesso: accesso esterno; (z.d. 4)";VIA ;CADORE;30;3077;4;il giorno;non alimentare;15;30;15
"VIA RIVOLI N. 2 ;via tivoli 008; isolato:243; accesso: accesso esterno; (z.d. 1)";VIA ;RIVOLI;2;7080;1;;non alimentare;;15;15
"PTA GIORDANO UMBERTO N. 2 ;cso monforte 002; isolato:264; accesso: accesso esterno; (z.d. 1)";PTA ;GIORDANO UMBERTO;2;345;1;;non alimentare;16;31;15
"PLE SIENA N. 18 ; isolato:199; accesso: accesso esterno; (z.d. 7)";PLE ;SIENA;18;6616;7;;non alimentare;12;27;15
"VIA GALLURA N. 1 ; isolato:101; accesso: accesso esterno; (z.d. 5)";VIA ;GALLURA;1;4256;5;;non alimentare;5;20;15
"VIA COPERNICO NICOLO' N. 41 ; isolato:200; accesso: accesso esterno; (z.d. 2)";VIA ;COPERNICO NICOLO';41;1204;2;;non alimentare;5;20;15
"VIA SCHIAPARELLI GIOVANNI N. 4 ; isolato:199; accesso: accesso esterno; (z.d. 2)";VIA ;SCHIAPARELLI GIOVANNI;4;1211;2;;non alimentare;13;28;15
"PLE PIOLA GABRIO N. 12 ; isolato:047; accesso: accesso esterno; (z.d. 3)";PLE ;PIOLA GABRIO;12;2216;3;cartolibreria fausta;non alimentare;45;60;15
"PZA SAN MATERNO N. 10 ; isolato:012; accesso: accesso esterno; (z.d. 3)";PZA ;SAN MATERNO;10;2423;3;;non alimentare;100;115;15
"VIA MEDA GIUSEPPE N. 17 ; isolato:162; accesso: accesso esterno; (z.d. 5)";VIA ;MEDA GIUSEPPE;17;5242;5;ferramenta;non alimentare;10;25;15
"VIA DELLA CHIESA ROSSA N. 25 ; isolato:032; accesso: accesso esterno; (z.d. 5)";VIA ;DELLA CHIESA ROSSA;25;5321;5;stargate cafe;"non alimentare;tabella speciale monopolio";;90;15
"VIA MONTEGANI LODOVICO N. 10 ; isolato:021; accesso: accesso esterno; (z.d. 5)";VIA ;MONTEGANI LODOVICO;10;5330;5;;non alimentare;5;20;15
"VLE MONTE NERO N. 14 ; isolato:157; accesso: accesso esterno; (z.d. 4)";VLE ;MONTE NERO;14;3062;4;;non alimentare;;15;15
"VIA MOROSINI EMILIO N. 26 ; isolato:070; accesso: accesso esterno; (z.d. 4)";VIA ;MOROSINI EMILIO;26;3073;4;l edicola della moda snc.;non alimentare;20;35;15
"VLE UMBRIA N. 22 ; isolato:179; accesso: accesso esterno; (z.d. 4)";VLE ;UMBRIA;22;3145;4;;non alimentare;;30;15
"PZA FIRENZE N. 4 ; isolato:007; accesso: accesso esterno; (z.d. 8)";PZA ;FIRENZE;4;7173;8;caffe  firenze;"non alimentare;tabella speciale monopolio";45;60;15
"VIA REMBRANDT N. 20 ; isolato:287; accesso: accesso esterno; (z.d. 7)";VIA ;REMBRANDT;20;6618;7;ottica foto moderna;non alimentare;7;22;15
"VLE MURILLO S.B. N. 1 ; isolato:255; accesso: accesso esterno; (z.d. 7)";VLE ;MURILLO S.B.;1;6551;7;;tabella speciale monopolio;57;72;15
"VIA SAN VINCENZO N. 1 ; isolato:455; accesso: accesso esterno; (z.d. 1)";VIA ;SAN VINCENZO;1;5098;1;cartoleria;non alimentare;;15;15
"CSO MATTEOTTI GIACOMO N. 11 ;cso matteotti giacomo 011; isolato:263; accesso: accesso esterno; (z.d. 1)";CSO ;MATTEOTTI GIACOMO;11;218;1;bar top 11;tabella speciale monopolio;;15;15
"VIA SFORZA FRANCESCO N. 1 ;via sforza francesco 001; isolato:199; accesso: accesso esterno; (z.d. 1)";VIA ;SFORZA FRANCESCO;1;330;1;krisma bar;tabella speciale monopolio;;15;15
"PAS DEGLI OSII N. 1 ;pas degli osii 001; isolato:436; accesso: accesso esterno; (z.d. 1)";PAS ;DEGLI OSII;1;544;1;hobby fumo;tabella speciale monopolio;11;26;15
"VIA MAIOCCHI ACHILLE N. 27 ; isolato:066; accesso: accesso esterno; (z.d. 3)";VIA ;MAIOCCHI ACHILLE;27;2162;3;;non alimentare;15;30;15
"VIA CASATI FELICE N. 4 ; isolato:105; accesso: accesso esterno; (z.d. 3)";VIA ;CASATI FELICE;4;2122;3;nonsolostampa sas.;non alimentare;55;70;15
"VIA SARPI FRA' PAOLO N. 41 ; isolato:109; accesso: accesso esterno; (z.d. 1)";VIA ;SARPI FRA' PAOLO;41;7210;1;gioiart;non alimentare;15;30;15
"VIA LORENTEGGIO N. 47 ; isolato:147; accesso: accesso esterno; (z.d. 6)";VIA ;LORENTEGGIO;47;5132;6;;non alimentare;7;22;15
"VLE CORSICA N. 75 ; isolato:258; accesso: accesso esterno; (z.d. 4)";VLE ;CORSICA;75;3262;4;;non alimentare;;15;15
"VIA F.LLI BRONZETTI N. 6 ; isolato:006; accesso: accesso esterno; (z.d. 4)";VIA ;F.LLI BRONZETTI;6;3089;4;;non alimentare;10;25;15
"VIA FILZI FABIO N. 41 ; isolato:242; accesso: accesso esterno; (z.d. 2)";VIA ;FILZI FABIO;41;1190;2;;non alimentare;15;30;15
"VIA TERRAGGIO N. 11 ;via terraggio 011; isolato:340; accesso: accesso esterno; (z.d. 1)";VIA ;TERRAGGIO;11;644;1;;non alimentare;1;16;15
"PZA WAGNER RICCARDO interno merc. comun. coperto num.000; isolato:195; accesso: accesso esterno; (z.d. 7)";PZA ;WAGNER RICCARDO;;6247;7;;alimentare;;15;15
"VIA CASORETTO N. 1 ; isolato:001; accesso: accesso esterno; (z.d. 3)";VIA ;CASORETTO;1;2420;3;;non alimentare;17;32;15
"VIA MECENATE N. 2 ; isolato:055; accesso: accesso esterno; (z.d. 4)";VIA ;MECENATE;2;3323;4;latteria gelateria bar;non alimentare;23;38;15
"VIA MARTINETTI PIERO N. 21 ; isolato:191; accesso: accesso esterno; (z.d. 7)";VIA ;MARTINETTI PIERO;21;6339;7;tonys pub;alimentare;8;23;15
"VIA SAINT BON SIMONE N. 38 ; isolato:186; accesso: accesso esterno; (z.d. 7)";VIA ;SAINT BON SIMONE;38;6670;7;;Alimentare;;15;15
"PZA DIAZ ARMANDO num.003/int; isolato:422; accesso: accesso interno; (z.d. 1)";PZA ;DIAZ ARMANDO;;339;1;;"alimentare;non alimentare";20;35;15
"VIA BIGLI N. 20 ;via bigli 020; isolato:314; accesso: accesso esterno; (z.d. 1)";VIA ;BIGLI;20;224;1;marano;non alimentare;;15;15
"PZA CAIAZZO N. 2 ; isolato:023; accesso: accesso esterno; (z.d. 3)";PZA ;CAIAZZO;2;2259;3;;tabella speciale monopolio;;115;15
"CSO MATTEOTTI GIACOMO N. 11 ;cso matteotti giacomo 011; isolato:263; accesso: accesso esterno; (z.d. 1)";CSO ;MATTEOTTI GIACOMO;11;218;1;marcello di milano;non alimentare;10;25;15
"VIA SARPI FRA' PAOLO N. 63 ; isolato:105; accesso: accesso esterno; (z.d. 8)";VIA ;SARPI FRA' PAOLO;63;7210;8;;non alimentare;10;25;15
"CSO VENEZIA N. 43 ;cso venezia 043; isolato:095; accesso: accesso esterno; (z.d. 1)";CSO ;VENEZIA;43;238;1;carte geografiche automob;non alimentare;;15;15
"VIA S. GIOV. SUL MURO N. 13 ;via s. giov. sul muro 013; isolato:372; accesso: accesso esterno; (z.d. 1)";VIA ;S. GIOV. SUL MURO;13;609;1;bourbon st.;tabella speciale monopolio;30;45;15
"PLE LAGOSTA N. 1 ; isolato:275; accesso: accesso esterno; (z.d. 9)";PLE ;LAGOSTA;1;1155;9;nod s hair;non alimentare;25;40;15
"VIA MONTI VINCENZO N. 28 ; isolato:233; accesso: accesso esterno; (z.d. 1)";VIA ;MONTI VINCENZO;28;6155;1;;non alimentare;5;20;15
"VIA GALVANI LUIGI N. 21 ; isolato:287; accesso: accesso esterno; (z.d. 9)";VIA ;GALVANI LUIGI;21;1179;9;;non alimentare;15;30;15
"VLE RANZONI DANIELE N. 3 ; isolato:002; accesso: accesso esterno; (z.d. 7)";VLE ;RANZONI DANIELE;3;6297;7;;"non alimentare;tabella speciale monopolio";18;33;15
"VLE MONZA N. 54 interno merc. comun. coperto; isolato:324; accesso: accesso interno; (z.d. 2)";VLE ;MONZA;54;2274;2;;alimentare;14;29;15
"VIA MECENATE centro strada num.078; pto strada:cs; accesso: accesso esterno; (z.d. 4)";;;;;;agip;tabella speciale carburanti;115;130;15
"VIA PALATINO N. 1 centro strada; isolato:194; pto strada:cs; accesso: accesso esterno; (z.d. 7)";VIA ;PALATINO;1;6523;7;;tabella speciale carburanti;;15;15
"PLE CADORNA LUIGI mm1 cadorna codvia 9115 num.000 mm; accesso: accesso interno; (z.d. 1)";PLE ;CADORNA LUIGI;;601;1;bar tabacchi;"alimentare;non alimentare";;105;15
