Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;forma_commercio;forma_commercio_prev;forma_vendita;fuori_piano;insegna;settore_storico_pe;superficie_somministrazione
"PZA SANT' EUFEMIA N. 1 c/o circolo ras;pza sant' eufemia 001; isolato:271; accesso: accesso interno; (z.d. 1)";PZA ;SANT' EUFEMIA;1;406;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"Prodotti di gastronomia;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Tavola fredda";45
"LGO AUGUSTO N. 7 ;via marziale 004; isolato:266; accesso: accesso esterno; (z.d. 1)";LGO ;AUGUSTO;7;315;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;extasia;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Sale da ballo, locali notturni;Discoteche,sale ballo notturni";90
"VLE ABRUZZI N. 48 ; isolato:090; accesso: accesso esterno; (z.d. 3)";VLE ;ABRUZZI;48;2177;3;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;il sottomarino giallo;"Giochi Legge 388/2000;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Sale da ballo, locali notturni";147
"CSO BUENOS AIRES N. 26 ; isolato:082; accesso: accesso esterno; (z.d. 3)";CSO ;BUENOS AIRES;26;2129;3;solo somministrazione;somministrazione;al banco;fuori piano;;BAR CAFFÈ;34
"VIA GATTAMELATA N. 41 c/o citroen italia s.p.a.; isolato:328; accesso: accesso interno; (z.d. 8)";VIA ;GATTAMELATA;41;7156;8;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;c/o citroen italia spa.;"Tav.calde,self service,fast f.;Mensa";231
"VIA PROCACCINI GIULIO CESARE N. 17 ; isolato:064; accesso: accesso esterno; (z.d. 8)";VIA ;PROCACCINI GIULIO CESARE;17;7204;8;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;apollo;"BAR CAFFÈ;Discoteche,sale ballo notturni;Sale da ballo, locali notturni";10
"VIA GROSIO num.010/4 c/o agfa gevaert spa; isolato:179; accesso: accesso interno; (z.d. 8)";;;;;;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;"Mensa;Tav.calde,self service,fast f.";232
"VIA GIOIA MELCHIORRE N. 124 c/o mensa comifar spa; isolato:145; accesso: accesso interno; (z.d. 2)";VIA ;GIOIA MELCHIORRE;124;1108;2;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;78
"VIA ALSERIO N. 10 c/o selezione spa; isolato:255; accesso: accesso interno; (z.d. 9)";VIA ;ALSERIO;10;1153;9;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;Mensa;150
"VIA BERGOGNONE AMBROGIO DA FOSSANO N. 34 c/o circ.azie.lavoratori scala; isolato:031; accesso: accesso interno; (z.d. 6)";VIA ;BERGOGNONE AMBROGIO DA FOSSANO;34;5130;6;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;circ.aziend.lavorat.scala;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Tavola fredda";92
"VIA DE AMICIS EDMONDO N. 34 ;via de amicis edmondo 034; isolato:278; accesso: accesso interno; (z.d. 1)";VIA ;DE AMICIS EDMONDO;34;574;1;solo somministrazione;somministrazione;al banco;fuori piano;;"Carte;Cibi cotti preconfezionati;BAR CAFFÈ;Tavola fredda";194
"VIA LIVRAGHI GIOVANNI N. 14 c/o mensa jucker spa; isolato:037; accesso: accesso interno; (z.d. 2)";VIA ;LIVRAGHI GIOVANNI;14;2443;2;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;341
"GLL DE CRISTOFORIS N. 7 dipend. gruppo banca popolare;gll de cristoforis 007; isolato:361; accesso: accesso interno; (z.d. 1)";GLL ;DE CRISTOFORIS;7;100;1;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;"Mensa;Tav.calde,self service,fast f.";675
"PLE F.LLI ZAVATTARI N. 12 c/o italtel; isolato:205; accesso: accesso esterno; (z.d. 7)";PLE ;F.LLI ZAVATTARI;12;6537;7;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;1020
"VIA CERNOBBIO N. 5 ; isolato:026; accesso: accesso interno; (z.d. 9)";VIA ;CERNOBBIO;5;1241;9;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;150
"VIA MURIALDO PADRE LEONARDO N. 9 c/o parrocchia; isolato:092; accesso: accesso interno; (z.d. 6)";VIA ;MURIALDO PADRE LEONARDO;9;6687;6;solo somministrazione;somministrazione;misto;circoli parrocchiali;;"LETT. GIOCHI LECITI + SOCIETA';BAR CAFFÈ;Tavola fredda";160
"VIA TORTONA N. 35 c/o mensa c.g.e. spa; isolato:041; accesso: accesso interno; (z.d. 6)";VIA ;TORTONA;35;5124;6;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;560
"VIA ALDINI ANTONIO N. 77 c/o campo calcio sempione nord; isolato:113; accesso: accesso esterno; (z.d. 8)";VIA ;ALDINI ANTONIO;77;7461;8;solo somministrazione;somministrazione;al banco;fuori limite numeric;;"Tavola calda;BAR CAFFÈ";60
"VIA DE NOTARIS GIUSEPPE N. 51 c/o mensa raffineria olii spa; isolato:168; accesso: accesso interno; (z.d. 2)";VIA ;DE NOTARIS GIUSEPPE;51;2500;2;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;170
"PZA CADUTI E DISPERSI IN RUSSIA N. 1 (interno m.c.c. fiori); isolato:064; accesso: accesso esterno; (z.d. 3)";PZA ;CADUTI E DISPERSI IN RUSSIA;1;2703;3;solo somministrazione;somministrazione;al banco;fuori limite numeric;bar;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";12
"VIA PADOVA N. 272 ; isolato:241; accesso: accesso esterno; (z.d. 2)";VIA ;PADOVA;272;2275;2;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.d;striptease;"Tavola fredda;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Discoteche,sale ballo notturni;Sale da ballo, locali notturni;BAR CAFFÈ;Bar gastronomici e simili";506
"VIA AUSONIO N. 13 c/o centro enogastronomia; isolato:223; accesso: accesso interno; (z.d. 1)";VIA ;AUSONIO;13;5093;1;solo somministrazione;somministrazione;al tavolo;art.3 comma 6 lett.g;;Mensa;53
"VIA BETTI UGO num.161/e c/o circolo arci gallaratese; isolato:046; accesso: accesso esterno; (z.d. 8)";VIA ;BETTI UGO;;7517;8;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"Carte;Bocce;BAR CAFFÈ;Tavola fredda";82
"VIA MONTE OLIVETO N. 8 ; isolato:124; accesso: accesso interno; (z.d. 4)";VIA ;MONTE OLIVETO;8;3345;4;solo somministrazione;somministrazione;al banco;club privato;;BAR CAFFÈ;84
"VIA DEI PICCOLOMINI N. 5 ; isolato:177; accesso: accesso interno; (z.d. 7)";VIA ;DEI PICCOLOMINI;5;6513;7;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;;BAR CAFFÈ;393
"VIA SAN CALIMERO N. 15 ; isolato:205; accesso: accesso interno; (z.d. 1)";VIA ;SAN CALIMERO;15;4014;1;solo somministrazione;somministrazione;al banco;fuori piano;;BAR CAFFÈ;30
"VIA CASTELFIDARDO N. 7 c/o coop. cons.i due gabbiani; isolato:008; accesso: accesso interno; (z.d. 1)";VIA ;CASTELFIDARDO;7;1043;1;solo somministrazione;somministrazione;al tavolo;art.3 comma 6 lett.e;;BAR CAFFÈ;436
"VIA DE CASTILLIA GAETANO N. 21 c/o circolo uri; isolato:283; accesso: accesso interno; (z.d. 9)";VIA ;DE CASTILLIA GAETANO;21;1123;9;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"BAR CAFFÈ;Cibi cotti";205
"CSO DI PORTA VIGENTINA N. 35 ; isolato:042; accesso: accesso interno; (z.d. 1)";CSO ;DI PORTA VIGENTINA;35;4026;1;solo somministrazione;somministrazione;self service;fuori piano;;Mensa;80
"VLE BODIO LUIGI num.033/39 c/o alcatel face spa; isolato:092; accesso: accesso interno; (z.d. 9)";VLE ;BODIO LUIGI;;1237;9;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;1200
"VIA ARISTOTELE N. 2 c/o parrocchia s. teresa del b; isolato:152; accesso: accesso interno; (z.d. 2)";VIA ;ARISTOTELE;2;2488;2;solo somministrazione;somministrazione;misto;circoli parrocchiali;;"BAR CAFFÈ;Carte;Bocce;Tavola fredda";41
"VIA SARFATTI ROBERTO N. 25 c/o università bocconi; isolato:119; accesso: accesso interno; (z.d. 5)";VIA ;SARFATTI ROBERTO;25;4202;5;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;"BAR CAFFÈ;Mensa";368
"PZA BELGIOIOSO N. 2 c/o circolo artisti e patriott;pza belgioioso 002; isolato:363; accesso: accesso esterno; (z.d. 1)";PZA ;BELGIOIOSO;2;232;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Ristorante";335
"VLE ALEMAGNA EMILIO N. 6 ; isolato:078; accesso: accesso esterno; (z.d. 1)";VLE ;ALEMAGNA EMILIO;6;7106;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;;"Elettr.Automatici Meccaniche;Biliardo;BAR CAFFÈ;Discoteche,sale ballo notturni;Carte;Bocce;Ristorante";518
"LGO AUGUSTO N. 1 interno cinema;lgo augusto 001; isolato:319; accesso: accesso interno; (z.d. 1)";LGO ;AUGUSTO;1;315;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.";13
"VIA BOTTA CARLO N. 18 ; isolato:158; accesso: accesso interno; (z.d. 4)";VIA ;BOTTA CARLO;18;4069;4;solo somministrazione;somministrazione;al banco;fuori piano;;"Cibi cotti preconfezionati;BAR CAFFÈ;Tavola fredda";18
"VIA MONETA num.001/a ; isolato:432; accesso: accesso interno; (z.d. 1)";VIA ;MONETA;;570;1;solo somministrazione;somministrazione;al banco;fuori piano;;BAR CAFFÈ;20
"VIA F.LLI ZANZOTTERA N. 31 c/o circolo acli a. grandi; isolato:024; accesso: accesso esterno; (z.d. 7)";VIA ;F.LLI ZANZOTTERA;31;6733;7;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"Prodotti di gastronomia;Carte;Biliardo;BAR CAFFÈ";43
"VIA GRASSI GIOVANNI BATTISTA N. 98 c/o mensa i.r.t. spa; isolato:014; accesso: accesso interno; (z.d. 8)";VIA ;GRASSI GIOVANNI BATTISTA;98;7465;8;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;1200
"VIA DON BOSCO N. 8 c/o parrocchia san luigi; isolato:021; accesso: accesso interno; (z.d. 4)";VIA ;DON BOSCO;8;4144;4;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;BAR CAFFÈ;57
"VIA VALPETROSA N. 5 c/o ass. krishna;via valpetrosa 005; isolato:441; accesso: accesso interno; (z.d. 1)";VIA ;VALPETROSA;5;650;1;solo somministrazione;somministrazione;al tavolo;club privato;;Ristorante;64
"VLE TUNISIA N. 9 ; isolato:123; accesso: accesso interno; (z.d. 3)";VLE ;TUNISIA;9;2121;3;solo somministrazione;somministrazione;al tavolo;fuori piano;;"Ristorante;BAR CAFFÈ";35
"VIA CONSTANT BENJAMIN N. 22 unione sportiva gescal boys; isolato:097; accesso: accesso interno; (z.d. 7)";VIA ;CONSTANT BENJAMIN;22;6083;7;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;;"Tavola fredda;BAR CAFFÈ";12
"VIA MANZONI ALESSANDRO N. 42 ;via manzoni alessandro 042; isolato:255; accesso: accesso interno; (z.d. 1)";VIA ;MANZONI ALESSANDRO;42;230;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;;"BAR CAFFÈ;Tavola fredda";126
"VIA FONTANA N. 6 club; isolato:034; accesso: accesso interno; (z.d. 1)";VIA ;FONTANA;6;3058;1;solo somministrazione;somministrazione;al banco;club privato;;BAR CAFFÈ;90
"VIA LA FARINA GIUSEPPE N. 15 c/o circolo acli bicocca; isolato:050; accesso: accesso interno; (z.d. 9)";VIA ;LA FARINA GIUSEPPE;15;1625;9;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFFÈ";76
"VIA LATTANZIO N. 74 ; isolato:102; accesso: accesso interno; (z.d. 4)";VIA ;LATTANZIO;74;4091;4;solo somministrazione;somministrazione;misto;fuori piano;;"BAR CAFFÈ;Ristorante";42
"VIA CARDUCCI GIOSUE' N. 25 ;via carducci giosue' 025; isolato:282; accesso: accesso esterno; (z.d. 1)";VIA ;CARDUCCI GIOSUE';25;602;1;;somministrazione;misto;art.3 comma 6 lett.d;discoteca peep show;"BAR CAFFÈ E SIMILI;Discoteche,sale ballo notturni;BAR CAFFÈ;Tavola fredda;Genere Merceol.Autorizz.Sanit.";220
"VIA MONTEBELLO N. 18 c/o banca commerciale; isolato:250; accesso: accesso interno; (z.d. 1)";VIA ;MONTEBELLO;18;1037;1;solo somministrazione;somministrazione;al tavolo;art.3 comma 6 lett.e;;Mensa;634
"VLE FAMAGOSTA N. 48 ; isolato:078; accesso: accesso interno; (z.d. 6)";VLE ;FAMAGOSTA;48;5353;6;solo somministrazione;somministrazione;misto;fuori piano;;Ristorante;110
"VIA SANT' ABBONDIO N. 10 ; isolato:071; accesso: accesso interno; (z.d. 5)";VIA ;SANT' ABBONDIO;10;5315;5;solo somministrazione;somministrazione;al banco;club privato;;"Tavola fredda;BAR CAFFÈ";40
"codvia 9216 mm2 s. ago; isolato:999; accesso: accesso interno; (z.d. 1)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;bar metro;"Giochi Legge 388/2000;Cibi cotti preconfezionati;Bar gastronomici e simili;Tavola fredda;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ";28
"VIA ARCONATI COSTANZA N. 1 c/o mensa sandoz spa; isolato:062; accesso: accesso interno; (z.d. 4)";VIA ;ARCONATI COSTANZA;1;3211;4;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;250
"VIA DALMAZIA N. 11 c/o parrocchia s. nicolao; isolato:039; accesso: accesso interno; (z.d. 4)";VIA ;DALMAZIA;11;3363;4;solo somministrazione;somministrazione;al banco;circoli parrocchiali;;"BAR CAFFÈ;Cibi cotti preconfezionati";171
"VIA DON MINZONI GIOVANNI N. 9 c/o ass. sport. garibaldina; isolato:015; accesso: accesso interno; (z.d. 9)";VIA ;DON MINZONI GIOVANNI;9;1141;9;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;"Tavola fredda;BAR CAFFÈ";48
"VIA QUARANTA BERNARDO N. 12 c/o miharm s.p.a; isolato:109; accesso: accesso interno; (z.d. 5)";VIA ;QUARANTA BERNARDO;12;4271;5;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;c/o mipharn spa.;"Mensa;Tav.calde,self service,fast f.";309
"VIA ROMANO GIULIO N. 18 c/o circ. parrochiale s.andrea; isolato:151; accesso: accesso interno; (z.d. 5)";VIA ;ROMANO GIULIO;18;4057;5;somministrazione/minuto;somministrazione;misto;art.3 comma 6 lett.g;;"Tavola fredda;Giochi Legge 388/2000;BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.";154
"VIA MILAZZO N. 9 interno cinema anteo; isolato:005; accesso: accesso interno; (z.d. 1)";VIA ;MILAZZO;9;1034;1;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;;"Ristorante;Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Tavola fredda;Ristorante, trattoria, osteria";114
"VLE AFFORI N. 21 c/o a.n.c.r. sez. affori; isolato:144; accesso: accesso interno; (z.d. 9)";VLE ;AFFORI;21;1545;9;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;;"BAR CAFFÈ;Carte";26
"VIA DIONE CASSIO N. 15 c/o pentax italia srl; isolato:091; accesso: accesso interno; (z.d. 4)";VIA ;DIONE CASSIO;15;3360;4;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;66
"VIA GALLARATE N. 64 c/o mensa cabi cattaneo spa; isolato:222; accesso: accesso esterno; (z.d. 8)";VIA ;GALLARATE;64;7420;8;solo somministrazione;somministrazione;al tavolo;art.3 comma 6 lett.e;;Mensa;125
"PZA GASPARRI PIETRO N. 11 c/o parrocchia; isolato:030; accesso: accesso interno; (z.d. 9)";PZA ;GASPARRI PIETRO;11;1647;9;solo somministrazione;somministrazione;misto;circoli parrocchiali;;"BAR CAFFÈ;Carte;Biliardo;Bocce;Tavola fredda";95
"LGO GIAMBELLINO N. 121 ; isolato:158; accesso: accesso interno; (z.d. 6)";LGO ;GIAMBELLINO;121;5395;6;solo somministrazione;somministrazione;self service;fuori piano;;Mensa;130
"VIA BARTOLOMEO D'ALVIANO N. 78 c/o istituto geriatrico radael; isolato:029; accesso: accesso interno; (z.d. 6)";VIA ;BARTOLOMEO D'ALVIANO;78;6612;6;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.g;ist. geriatrico piero rel;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ E SIMILI;Tavola fredda;BAR CAFFÈ";103
"CSO ITALIA N. 19 c/o mensa ussl;cso italia 019; isolato:330; accesso: accesso interno; (z.d. 1)";CSO ;ITALIA;19;526;1;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.f;;Mensa;191
"codvia 9207 mm2 loreto; isolato:996; accesso: accesso interno; (z.d. 3)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.c;;"Giochi Legge 388/2000;Tavola fredda;BAR CAFFÈ";69
"VIA PELLIZZONE ANDREA N. 12 ; isolato:189; accesso: accesso interno; (z.d. 3)";VIA ;PELLIZZONE ANDREA;12;3314;3;solo somministrazione;somministrazione;misto;fuori piano;;BAR CAFFÈ;22
"VIA SAN PAOLINO N. 4 associazione sportiva barona; isolato:101; accesso: accesso interno; (z.d. 6)";VIA ;SAN PAOLINO;4;5425;6;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.e;;BAR CAFFÈ;40
"VIA TEODOSIO N. 89 c/o a.t.m.; isolato:003; accesso: accesso interno; (z.d. 3)";VIA ;TEODOSIO;89;2550;3;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;int. a.t.m.;Mensa;532
"VIA CORTINA D'AMPEZZO N. 13 c/o mensa arti graf. ricordi; isolato:111; accesso: accesso interno; (z.d. 5)";VIA ;CORTINA D'AMPEZZO;13;4259;5;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;290
"VIA FARINI CARLO N. 9 c/o mensa a.t.m.; isolato:069; accesso: accesso interno; (z.d. 8)";VIA ;FARINI CARLO;9;1114;8;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;175
"VIA GALLARATE num.159 c/o elisabeth arden; isolato:207; accesso: accesso interno; (z.d. 8)";;;;;;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;152
"VIA GARGANO N. 7 ; isolato:112; accesso: accesso interno; (z.d. 5)";VIA ;GARGANO;7;4163;5;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;126
"VIA GRASSI GIOVANNI BATTISTA N. 74 c/o ospedale sacco; isolato:017; accesso: accesso interno; (z.d. 8)";VIA ;GRASSI GIOVANNI BATTISTA;74;7465;8;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.g;ospedale;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Tavola fredda";144
"VIA LAMBRUSCHINI RAFFAELE N. 15 c/o mensa fbm hudson spa; isolato:021; accesso: accesso interno; (z.d. 8)";VIA ;LAMBRUSCHINI RAFFAELE;15;7271;9;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;380
"VIA LATTUADA SERVILIANO N. 9 c/o mensa visitando mondo srl; isolato:158; accesso: accesso interno; (z.d. 4)";VIA ;LATTUADA SERVILIANO;9;4075;4;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;120
"VLE MONZA N. 140 bar interno c/o cooperativa; isolato:173; accesso: accesso interno; (z.d. 2)";VLE ;MONZA;140;2274;2;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.g;;"Genere Merceol.Autorizz.Sanit.;BAR CAFFÈ;Tavola fredda";60
"VIA SALAINO ANDREA N. 7 c/o mensa candle srl; isolato:018; accesso: accesso interno; (z.d. 6)";VIA ;SALAINO ANDREA;7;6092;6;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;120
"VIA SIMONETTA CICCO N. 11 c/o circolo chimera magazine; isolato:131; accesso: accesso interno; (z.d. 1)";VIA ;SIMONETTA CICCO;11;5168;1;solo somministrazione;somministrazione;misto;club privato;;"BAR CAFFÈ;Tavola fredda";43
"VLE TESTI FULVIO N. 121 c/o mensa manifattura tabacchi; isolato:096; accesso: accesso interno; (z.d. 9)";VLE ;TESTI FULVIO;121;1441;9;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;1970
"VLE TESTI FULVIO N. 330 c/o italfarmaco spa; isolato:037; accesso: accesso interno; (z.d. 9)";VLE ;TESTI FULVIO;330;1441;9;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;431
"VIA BENADIR N. 14 c/o mensa polygam dischi spa; isolato:286; accesso: accesso interno; (z.d. 2)";VIA ;BENADIR;14;2380;2;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;84
"VIA CELLINI BENVENUTO N. 14 c/o patronato san vincenzo; isolato:025; accesso: accesso interno; (z.d. 4)";VIA ;CELLINI BENVENUTO;14;3081;4;solo somministrazione;somministrazione;al tavolo;art.3 comma 6 lett.g;;Mensa;100
"VLO DE CASTILLIA GAETANO N. 4 ; isolato:294; accesso: accesso interno; (z.d. 9)";VLO ;DE CASTILLIA GAETANO;4;1124;9;solo somministrazione;somministrazione;misto;club privato;;"BAR CAFFÈ;Carte";45
"VIA GOVONE GIUSEPPE N. 23 ; isolato:013; accesso: accesso interno; (z.d. 8)";VIA ;GOVONE GIUSEPPE;23;7222;8;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;;"BAR CAFFÈ;Tavola fredda;Cibi cotti preconfezionati";92
"VIA DON MINZONI GIOVANNI N. 10 ; isolato:016; accesso: accesso interno; (z.d. 9)";VIA ;DON MINZONI GIOVANNI;10;1141;9;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;200
"PZA SAN LUIGI N. 5 c/o circolo aics il progresso; isolato:020; accesso: accesso interno; (z.d. 4)";PZA ;SAN LUIGI;5;4145;4;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;;"Carte;Biliardo;BAR CAFFÈ";130
"VIA PONTI GIO' N. 3 (interno tennis club anemoni); isolato:027; accesso: accesso interno; (z.d. 6)";VIA ;PONTI GIO';3;6904;6;solo somministrazione;somministrazione;al tavolo;art.3 comma 6 lett.d;bar davis;"Tavola calda;BAR CAFFÈ E SIMILI";57
"VIA FABIO MASSIMO num.015/a /a int.centro sportivo tennis; isolato:146; accesso: accesso interno; (z.d. 4)";;;;;;solo somministrazione;somministrazione;al banco;art.3 comma 6 lett.d;int.centro sport. tennis;"Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFFÈ;Ristorante, trattoria, osteria";80
"VIA FERABOLI ACHILLE N. 27 c/o parrocchia s. barnaba; isolato:090; accesso: accesso interno; (z.d. 5)";VIA ;FERABOLI ACHILLE;27;5421;5;solo somministrazione;somministrazione;al banco;circoli parrocchiali;;"Biliardo;Carte;BAR CAFFÈ;Tavola fredda";135
"VIA LANZONE N. 29 c/o club nerazzurro;via lanzone 029; isolato:278; accesso: accesso interno; (z.d. 1)";VIA ;LANZONE;29;554;1;solo somministrazione;somministrazione;misto;club privato;;"Cibi cotti;Biliardo;BAR CAFFÈ;Carte";47
"VIA CILEA FRANCESCO num.071 c/o polisportiva s. leonardo; isolato:013; accesso: accesso interno; (z.d. 8)";VIA ;CILEA FRANCESCO;;7526;8;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;c/o polisportiva s. leon;"Carte;BAR CAFFÈ;Tavola fredda";65
"VIA OLMETTO num.008/a c/o parrocchia s. alessandro; isolato:397; accesso: accesso interno; (z.d. 1)";VIA ;OLMETTO;;553;1;solo somministrazione;somministrazione;al banco;circoli parrocchiali;;"Tavola fredda;BAR CAFFÈ";20
"VIA PAREA CARLO N. 4 c/o centro cardiologico monzin; isolato:123; accesso: accesso interno; (z.d. 4)";VIA ;PAREA CARLO;4;3344;4;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.g;;BAR CAFFÈ;57
"VIA TRAIANO MARCO ULPIO N. 18 ; isolato:338; accesso: accesso interno; (z.d. 9)";VIA ;TRAIANO MARCO ULPIO;18;7157;8;solo somministrazione;somministrazione;self service;fuori piano;;Mensa;1100
"VIA VALVASSORI PERONI CARLO N. 41 ; isolato:104; accesso: accesso esterno; (z.d. 3)";VIA ;VALVASSORI PERONI CARLO;41;2580;3;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.d;night club il gabbiano;"BAR CAFFÈ;Genere Merceol.Autorizz.Sanit.;Tavola fredda";133
"VLE STURZO DON LUIGI num.000 centro strada; isolato:316; pto strada:cs; accesso: accesso interno; (z.d. 9)";VLE ;STURZO DON LUIGI;;1704;9;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;30
VIA MONTI VINCENZO N. 36 (z.d. 1);VIA ;MONTI VINCENZO;36;6155;1;;somministrazione;al banco;club privato;;BAR CAFFÈ;48
"VIA PANIZZA BARTOLOMEO N. 10 ; isolato:242; accesso: accesso esterno; (z.d. 7)";VIA ;PANIZZA BARTOLOMEO;10;6208;7;solo somministrazione;somministrazione;misto;fuori piano;;Ristorante;108
"VIA BOCCONI FERDINANDO N. 30 ; isolato:140; accesso: accesso interno; (z.d. 5)";VIA ;BOCCONI FERDINANDO;30;4050;5;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;200
"VIA PASCOLI GIOVANNI num.070/3 c/o circolo squash rackets; isolato:119; accesso: accesso interno; (z.d. 3)";;;;;;solo somministrazione;somministrazione;misto;art.3 comma 6 lett.e;;"Tavola fredda;Cibi cotti preconfezionati;BAR CAFFÈ";86
"VIA BOVIO GIOVANNI N. 16 c/o mensa villa spa; isolato:053; accesso: accesso interno; (z.d. 9)";VIA ;BOVIO GIOVANNI;16;1507;9;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;61
"VLE LANCETTI VINCENZO N. 29 c/o mensa sampre spa; isolato:103; accesso: accesso interno; (z.d. 9)";VLE ;LANCETTI VINCENZO;29;1221;9;solo somministrazione;somministrazione;self service;art.3 comma 6 lett.e;;Mensa;35
"VIA CROCEFISSO N. 27 ;via molino delle armi 012; isolato:476; accesso: accesso esterno; (z.d. 1)";VIA ;CROCEFISSO;27;587;1;solo somministrazione;somministrazione;al tavolo;art.3 comma 6 lett.d;mia divina;"Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;Sale da ballo, locali notturni;BAR CAFFÈ;Tavola fredda";302
