Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;insegna;settore_merceologico;superficie_altri_usi;superficie_totale;superficie_vendita
"VIA SANT' ANDREA N. 21 ;via sant' andrea 021; isolato:260; accesso: accesso esterno; (z.d. 1)";VIA ;SANT' ANDREA;21;222;1;hermes;non alimentare;;513;317
"VIA OSOPPO N. 21 ; isolato:001; accesso: accesso interno; (z.d. 7)";VIA ;OSOPPO;21;6596;7;libero srl.;non alimentare;;317;317
"VIA ROSSI PELLEGRINO N. 93 ; isolato:153; accesso: accesso esterno; (z.d. 9)";VIA ;ROSSI PELLEGRINO;93;1510;9;;non alimentare;;317;317
"VIA OLGETTINA N. 60 interno osp. san raffaele; isolato:004; accesso: accesso interno; (z.d. 3)";VIA ;OLGETTINA;60;2530;3;di  per di;"alimentare;non alimentare";;495;317
"VIA MEDEGHINO N. 9 ; isolato:047; accesso: accesso esterno; (z.d. 5)";VIA ;MEDEGHINO;9;5335;5;;non alimentare;;359;319
"VIA AGNELLO N. 2 ;via agnello 002; isolato:385; accesso: accesso esterno; (z.d. 1)";VIA ;AGNELLO;2;209;1;celio;non alimentare;;473;320
"VIA VENINI GIULIO E CORRADO N. 37 aff. az. tacit. rinnov.; isolato:342; accesso: accesso esterno; (z.d. 2)";VIA ;VENINI GIULIO E CORRADO;37;2258;2;punto sma;"alimentare;non alimentare";;721;320
"VIA GIOIA MELCHIORRE N. 62 ; isolato:240; accesso: accesso esterno; (z.d. 2)";VIA ;GIOIA MELCHIORRE;62;1108;2;;non alimentare;50;370;320
"VIA MELZO N. 36 ; isolato:140; accesso: accesso esterno; (z.d. 3)";VIA ;MELZO;36;2184;3;guess;non alimentare;;320;320
"CSO MONFORTE N. 19 ;via santa cecilia 000; isolato:190; accesso: accesso esterno; (z.d. 1)";CSO ;MONFORTE;19;348;1;artemide;non alimentare;;397;320
"VIA LESMI N. 7 ; isolato:458; accesso: accesso interno; (z.d. 1)";VIA ;LESMI;7;5095;1;;non alimentare;;320;320
"PLE AQUILEIA N. 6 ; isolato:260; accesso: accesso esterno; (z.d. 7)";PLE ;AQUILEIA;6;6205;7;;non alimentare;;320;320
VIA PETITTI CARLO ILARIONE N. 6 (z.d. 8);VIA ;PETITTI CARLO ILARIONE;6;7161;8;;non alimentare;;320;320
"LGO SCALABRINI GIOVANNI BATTISTA N. 1 ; isolato:142; accesso: accesso esterno; (z.d. 6)";LGO ;SCALABRINI GIOVANNI BATTISTA;1;5392;6;di  per di;"alimentare;non alimentare";;680;320
"GLL SAN CARLO N. 6 ;gll san carlo 006; isolato:360; accesso: accesso esterno; (z.d. 1)";GLL ;SAN CARLO;6;302;1;;Non Alimentare;;774;322
"VLE DORIA ANDREA N. 24 ; isolato:016; accesso: accesso interno; (z.d. 3)";VLE ;DORIA ANDREA;24;2230;3;;non alimentare;;322;322
"VLE TESTI FULVIO N. 29 ; isolato:141; accesso: accesso esterno; (z.d. 9)";VLE ;TESTI FULVIO;29;1441;9;spotorno car srl;non alimentare;;323;323
"VIA MONTE NAPOLEONE N. 12 ;via monte napoleone 012; isolato:260; accesso: accesso esterno; (z.d. 1)";VIA ;MONTE NAPOLEONE;12;219;1;cornegliani;non alimentare;;324;324
"VIA LOSANNA N. 46 ; isolato:031; accesso: accesso esterno; (z.d. 8)";VIA ;LOSANNA;46;7190;8;carretti hi-tech;non alimentare;;325;325
"VIA PASSIONE num.002/a; isolato:194; accesso: accesso esterno; (z.d. 1)";VIA ;PASSIONE;;3033;1;schiffini;non alimentare;;328;328
VIA DURINI N. 1 (z.d. 1);VIA ;DURINI;1;313;1;;non alimentare;;422;329
"PZA DUCA D'AOSTA int. stazione centrale num.000; accesso: accesso interno; ()";PZA ;DUCA D'AOSTA;;1200;2;dufry profumery;non alimentare;;329;329
"PLE SELINUNTE N. 2 int. mercato comunale coperto; accesso: accesso esterno; (z.d. 7)";PLE ;SELINUNTE;2;6566;7;;"alimentare;non alimentare";323;652;329
"PLE SELINUNTE N. 2 int. m.c.c. selinunte; accesso: accesso esterno; (z.d. 7)";PLE ;SELINUNTE;2;6566;7;;"alimentare;non alimentare";;753;329
"VIA TORINO N. 51 ;via torino 051; isolato:397; accesso: accesso esterno; (z.d. 1)";VIA ;TORINO;51;543;1;blue basic;non alimentare;;394;330
"VIA DURINI N. 25 ;via durini 025; isolato:317; accesso: accesso esterno; (z.d. 1)";VIA ;DURINI;25;313;1;;non alimentare;;450;330
"PLE SELINUNTE N. 2 int. m.c.c. selinunte; (z.d. 7)";PLE ;SELINUNTE;2;6566;7;;alimentare;;753;330
"VIA SANT' ANDREA N. 5 ;via sant' andrea 005; isolato:260; accesso: accesso esterno; (z.d. 1)";VIA ;SANT' ANDREA;5;222;1;;non alimentare;;331;331
"VIA GUINTELLINO GUGLIELMO num.026/28; isolato:027; accesso: accesso esterno; (z.d. 6)";VIA ;GUINTELLINO GUGLIELMO;;5369;6;magia 2;non alimentare;;333;333
"VIA OREFICI N. 2 ;via orefici 002; isolato:436; accesso: accesso esterno; (z.d. 1)";VIA ;OREFICI;2;547;1;vodafone one;non alimentare;;337;337
"VIA SANTO SPIRITO N. 19 ;via santo spirito 019; isolato:258; accesso: accesso esterno; (z.d. 1)";VIA ;SANTO SPIRITO;19;228;1;;non alimentare;;500;337
"VIA CAMOZZI GABRIELE N. 7 art. 38 c.4 r.r. 3/2000; isolato:133; accesso: accesso esterno; (z.d. 7)";VIA ;CAMOZZI GABRIELE;7;6769;7;edil piave srl;non alimentare;;2000;340
"PZA SAN MARCO N. 1 ; isolato:299; accesso: accesso esterno; (z.d. 1)";PZA ;SAN MARCO;1;1040;1;;non alimentare;57;397;340
"VIA PORTA CARLO N. 1 ; isolato:093; accesso: accesso esterno; (z.d. 1)";VIA ;PORTA CARLO;1;1051;1;;non alimentare;35;375;340
"VIA WILDT ADOLFO N. 2 ; isolato:018; accesso: accesso interno; (z.d. 3)";VIA ;WILDT ADOLFO;2;2554;3;finporte snc;non alimentare;52;392;340
"CSO LODI N. 9 ; isolato:170; accesso: accesso esterno; (z.d. 4)";CSO ;LODI;9;4068;4;;non alimentare;;340;340
"CSO VERCELLI num.023/25; isolato:235; pto strada:1 ; accesso: accesso esterno; (z.d. 7)";CSO ;VERCELLI;;6193;7;frette;non alimentare;;395;340
PZA VETRA N. 21 (z.d. 1);PZA ;VETRA;21;515;1;;non alimentare;;340;340
"VLE DORIA ANDREA N. 17 aff. az. tacit. rinnov.; isolato:033; accesso: accesso esterno; (z.d. 3)";VLE ;DORIA ANDREA;17;2230;3;pd discount;"alimentare;non alimentare";;443;340
"VIA DELLA SPIGA N. 30 ;via della spiga 030; isolato:184; accesso: accesso esterno; (z.d. 1)";VIA ;DELLA SPIGA;30;226;1;just cavalli;non alimentare;;492;343
"VLE MONZA N. 2 ; isolato:352; accesso: accesso esterno; (z.d. 2)";VLE ;MONZA;2;2274;2;marionnaud parfumeries;non alimentare;;548;344
"VIA VENINI GIULIO E CORRADO num.038/2; isolato:346; accesso: accesso esterno; (z.d. 2)";;;;;;;non alimentare;25;370;345
"VIA PASSARELLA N. 4 ;cso vittorio emanuele ii 018*; isolato:386; accesso: accesso esterno; (z.d. 1)";VIA ;PASSARELLA;4;298;1;vergelio;non alimentare;;345;345
CSO DI PORTA NUOVA N. 52 (z.d. 1);CSO ;DI PORTA NUOVA;52;1044;1;;Non Alimentare;;580;345
"VIA SOLFERINO N. 11 ; isolato:172; accesso: accesso interno; (z.d. 1)";VIA ;SOLFERINO;11;1028;1;;non alimentare;;347;347
"VIA MANZONI ALESSANDRO N. 12 ;via manzoni alessandro 012; isolato:363; accesso: accesso esterno; (z.d. 1)";VIA ;MANZONI ALESSANDRO;12;230;1;fondamentali;non alimentare;;349;349
"CSO BUENOS AIRES N. 54 ; isolato:045; accesso: accesso esterno; (z.d. 3)";CSO ;BUENOS AIRES;54;2129;3;;non alimentare;;349;349
"VIA MEDA GIUSEPPE N. 11 ; isolato:130; accesso: accesso interno; (z.d. 5)";VIA ;MEDA GIUSEPPE;11;5242;5;;non alimentare;1260;1610;350
"VIA LORENTEGGIO N. 27 ; isolato:152; accesso: accesso esterno; (z.d. 6)";VIA ;LORENTEGGIO;27;5132;6;;non alimentare;;350;350
"VIA SAN SIRO N. 31 ; isolato:173; accesso: accesso interno; (z.d. 7)";VIA ;SAN SIRO;31;6282;7;;non alimentare;;350;350
"VIA MACCHI MAURO N. 42 ; isolato:031; accesso: accesso interno; (z.d. 2)";VIA ;MACCHI MAURO;42;2133;2;;"non alimentare;tabella speciale monopolio";475;825;350
"VLE SABOTINO N. 4 ; isolato:171; accesso: accesso esterno; (z.d. 5)";VLE ;SABOTINO;4;4046;5;;non alimentare;;350;350
"VIA MESSINA N. 43 ; isolato:020; accesso: accesso esterno; (z.d. 8)";VIA ;MESSINA;43;7211;8;autosport milano;non alimentare;100;450;350
"VIA BONCOMPAGNI CARLO num.067/int; isolato:072; accesso: accesso esterno; (z.d. 4)";;;;;;;non alimentare;;442;350
"VIA LARIO num.011/a; isolato:212; accesso: accesso esterno; (z.d. 9)";VIA ;LARIO;;1171;9;;non alimentare;15;365;350
"VLE SABOTINO N. 4 ; isolato:171; accesso: accesso interno; (z.d. 5)";VLE ;SABOTINO;4;4046;5;;non alimentare;;350;350
"CSO GENOVA N. 19 ; isolato:132; accesso: accesso esterno; (z.d. 1)";CSO ;GENOVA;19;5164;1;la coloniale;"alimentare;non alimentare";;350;350
VIA COLONNA MARCO ANTONIO N. 35 (z.d. 8);VIA ;COLONNA MARCO ANTONIO;35;7158;8;;non alimentare;;350;350
"VLE CATERINA DA FORLI' num.024/2; isolato:020; accesso: accesso interno; (z.d. 7)";;;;;;;non alimentare;;350;350
"CSO VERCELLI N. 38 ; isolato:215; accesso: accesso esterno; (z.d. 7)";CSO ;VERCELLI;38;6193;7;borghi;non alimentare;;350;350
"VLE MARCHE N. 63 ; isolato:165; accesso: accesso esterno; (z.d. 9)";VLE ;MARCHE;63;1360;9;blockbuster;"alimentare;non alimentare";;380;350
"VIA ARONA N. 4 ; isolato:040; accesso: accesso esterno; (z.d. 8)";VIA ;ARONA;4;7169;8;;non alimentare;;350;350
"VLE ESPINASSE CARLO N. 110 ; isolato:194; accesso: accesso esterno; (z.d. 8)";VLE ;ESPINASSE CARLO;110;7390;8;concess.lancia saicar;non alimentare;;350;350
"VIA PISANI VITTOR N. 8 ; isolato:093; accesso: accesso esterno; (z.d. 2)";VIA ;PISANI VITTOR;8;1201;2;gabbai;non alimentare;;350;350
"PZA DUCA D'AOSTA int. staz centrale num.000; accesso: accesso interno; ()";PZA ;DUCA D'AOSTA;;1200;2;bershka;non alimentare;;491;350
"VIA MANZONI ALESSANDRO num.021/23; isolato:313; accesso: accesso esterno; (z.d. 1)";VIA ;MANZONI ALESSANDRO;;230;1;le copen;non alimentare;;521;351
"VIA LENTASIO N. 1 ;via lentasio 001; isolato:270; accesso: accesso esterno; (z.d. 1)";VIA ;LENTASIO;1;410;1;;non alimentare;250;605;355
"PLE BAIAMONTI ANTONIO N. 4 aff. az. tacit. rinnov.; isolato:313; accesso: accesso esterno; (z.d. 9)";PLE ;BAIAMONTI ANTONIO;4;7235;9;punto sma;"alimentare;non alimentare";;566;355
"VIA RUTILIA num.010/8; isolato:001; accesso: accesso interno; (z.d. 5)";;;;;;acquazzurra;"alimentare;non alimentare";;450;355
"VIA BODONI GIAMBATTISTA N. 2 ; isolato:299; accesso: accesso esterno; (z.d. 8)";VIA ;BODONI GIAMBATTISTA;2;7261;8;;non alimentare;;356;356
"GLL STRASBURGO N. 3 ;gll strasburgo 003; isolato:317; accesso: accesso esterno; (z.d. 1)";GLL ;STRASBURGO;3;297;1;;non alimentare;;357;357
"VIA VALTELLINA N. 17 ; isolato:105; accesso: accesso interno; (z.d. 7)";VIA ;VALTELLINA;17;1188;9;;non alimentare;;358;358
"VIA SAN BARNABA N. 27 ; isolato:201; (z.d. 1)";VIA ;SAN BARNABA;27;3010;1;;non alimentare;;358;358
"VIA SOLARI ANDREA N. 6 ; isolato:019; accesso: accesso esterno; (z.d. 6)";VIA ;SOLARI ANDREA;6;5111;6;salvini;"alimentare;non alimentare";;360;360
"VIA AMADEO GIAN ANTONIO N. 40 ; isolato:200; accesso: accesso esterno; (z.d. 3)";VIA ;AMADEO GIAN ANTONIO;40;3228;3;;non alimentare;224;584;360
"VIA RISMONDO FRANCESCO N. 1 ; isolato:137; accesso: accesso esterno; (z.d. 7)";VIA ;RISMONDO FRANCESCO;1;6756;7;coeco elettro zanoni;non alimentare;;360;360
"VIA SAPRI N. 83 ; isolato:145; accesso: accesso esterno; (z.d. 8)";VIA ;SAPRI;83;7441;8;;"alimentare;non alimentare";;360;360
"VIA AMPERE ANDREA MARIA N. 103 ; isolato:011; accesso: accesso esterno; (z.d. 3)";VIA ;AMPERE ANDREA MARIA;103;2428;3;carrefour;"alimentare;non alimentare";;423;360
"VIA ROSSI PELLEGRINO N. 80 ; isolato:183; accesso: accesso esterno; (z.d. 9)";VIA ;ROSSI PELLEGRINO;80;1510;9;conad;"alimentare;non alimentare";;680;360
"VLE LIGURIA num.028; isolato:156; accesso: accesso esterno; (z.d. 6)";VLE ;LIGURIA;;5264;6;;non alimentare;;361;361
"VIA MANZONI ALESSANDRO N. 30 ;via manzoni alessandro 030; isolato:255; accesso: accesso esterno; (z.d. 1)";VIA ;MANZONI ALESSANDRO;30;230;1;;non alimentare;;423;361
"VIA NERINO N. 12 ;via nerino 012; isolato:349; accesso: accesso esterno; (z.d. 1)";VIA ;NERINO;12;564;1;;non alimentare;225;587;362
"VIA SANT' ANDREA N. 9 ;via sant' andrea 009; isolato:260; accesso: accesso esterno; (z.d. 1)";VIA ;SANT' ANDREA;9;222;1;;non alimentare;;364;364
"VIA ARCO N. 2 aff. az. tacit. rinnov.;via arco 002; isolato:295; accesso: accesso esterno; (z.d. 1)";VIA ;ARCO;2;714;1;;"alimentare;non alimentare";;991;364
VIA CIRCO N. 1 (z.d. 1);VIA ;CIRCO;1;557;1;;"Alimentare;Non Alimentare";;791;364
"VIA MONTE NAPOLEONE N. 5 ;via monte napoleone 005; isolato:315; accesso: accesso esterno; (z.d. 1)";VIA ;MONTE NAPOLEONE;5;219;1;etro;non alimentare;;365;365
"VLE MONZA N. 75 ; isolato:322; accesso: accesso esterno; (z.d. 2)";VLE ;MONZA;75;2274;2;morotti arredamenti;non alimentare;;568;366
"VIA SAN SENATORE N. 16 ;via santa sofia 022; isolato:271; accesso: accesso esterno; (z.d. 1)";VIA ;SAN SENATORE;16;404;1;carrefour;"alimentare;non alimentare";;424;368
"VIA LEOPARDI GIACOMO N. 7 ; isolato:289; accesso: accesso esterno; (z.d. 1)";VIA ;LEOPARDI GIACOMO;7;6156;1;;non alimentare;50;420;370
"VIA ASTESANI ALESSANDRO N. 17 ; isolato:100; accesso: accesso esterno; (z.d. 8)";VIA ;ASTESANI ALESSANDRO;17;1558;9;;;;370;370
"VLE ABRUZZI N. 54 ; isolato:065; accesso: accesso esterno; (z.d. 3)";VLE ;ABRUZZI;54;2177;3;carrefour;"alimentare;non alimentare";;413;370
"VIA MAESTRI CAMPIONESI N. 25 ; isolato:074; accesso: accesso esterno; (z.d. 4)";VIA ;MAESTRI CAMPIONESI;25;3197;4;super union;non alimentare;;370;370
"VIA BASSI UGO N. 5 ; isolato:257; accesso: accesso esterno; (z.d. 9)";VIA ;BASSI UGO;5;1143;9;bernardi abbigliamento;non alimentare;;371;371
"VIA MOROSINI EMILIO N. 7 ; isolato:046; accesso: accesso esterno; (z.d. 4)";VIA ;MOROSINI EMILIO;7;3073;4;;non alimentare;;371;371
VIA LOPEZ SABATINO N. 9 (z.d. 8);VIA ;LOPEZ SABATINO;9;7369;8;;"Alimentare;Non Alimentare";;594;372
"VLE CERTOSA N. 36 ; isolato:316; accesso: accesso esterno; (z.d. 8)";VLE ;CERTOSA;36;7174;8;;non alimentare;326;700;374
"VIA VODICE N. 3 ; isolato:252; accesso: accesso esterno; (z.d. 7)";VIA ;VODICE;3;6552;7;;non alimentare;;375;375
"VIA LACAITA GIACOMO FILIPPO N. 2 ; isolato:076; accesso: accesso interno; (z.d. 4)";VIA ;LACAITA GIACOMO FILIPPO;2;4308;4;evolution;non alimentare;;375;375
"VIA TRAIANO MARCO ULPIO N. 79 pii portello comp u2-lotto 2a; isolato:249; (z.d. 9)";VIA ;TRAIANO MARCO ULPIO;79;7157;8;;non alimentare;;503;375
"VIA TAZZOLI ENRICO N. 11 loc. interno; isolato:293; accesso: accesso interno; (z.d. 9)";VIA ;TAZZOLI ENRICO;11;1118;9;;non alimentare;;376;376
"VLE PAPINIANO N. 16 ; isolato:282; accesso: accesso esterno; (z.d. 1)";VLE ;PAPINIANO;16;5097;1;;"Alimentare;Non Alimentare";;504;376
"VIA ZANELLA GIACOMO N. 36 ; isolato:253; accesso: accesso esterno; (z.d. 4)";VIA ;ZANELLA GIACOMO;36;3257;4;;non alimentare;;378;378
"GLL SAN BABILA num.004/c; isolato:264; accesso: accesso esterno; (z.d. 1)";GLL ;SAN BABILA;;360;1;vannucci;non alimentare;;505;380
"VIA TOCE N. 11 ; isolato:207; accesso: accesso esterno; (z.d. 9)";VIA ;TOCE;11;1325;9;;non alimentare;8;388;380
"PZA BRUZZANO N. 5 aff. az. tacit. rinnov.; isolato:042; accesso: accesso esterno; (z.d. 9)";PZA ;BRUZZANO;5;1655;9;punto sma;"alimentare;non alimentare";50;1200;380
"VIA MAGISTRETTI PIETRO num.007; accesso: accesso esterno; (z.d. 2)";VIA ;MAGISTRETTI PIETRO;;2466;2;carrefour;"alimentare;non alimentare";;476;380
"VIA LEPONTINA N. 12 ; isolato:206; accesso: accesso interno; (z.d. 9)";VIA ;LEPONTINA;12;1147;9;;non alimentare;10;390;380
"VIA FERRUCCI FRANCESCO N. 6 ; isolato:085; accesso: accesso esterno; (z.d. 8)";VIA ;FERRUCCI FRANCESCO;6;7150;8;grimaldi motors;non alimentare;44;424;380
"VIA EDOLO N. 26 ; isolato:146; accesso: accesso esterno; (z.d. 2)";VIA ;EDOLO;26;1217;2;carrefour;"alimentare;non alimentare";;459;380
"VIA CASTALDI PANFILO N. 41 ; isolato:131; accesso: accesso esterno; (z.d. 3)";VIA ;CASTALDI PANFILO;41;2119;3;matuella;non alimentare;;630;380
"VIA ALUNNO NICOLO' N. 23 ; isolato:197; accesso: accesso esterno; (z.d. 7)";VIA ;ALUNNO NICOLO';23;6640;7;;non alimentare;;380;380
"VIA MEDA GIUSEPPE num.052/b; isolato:008; accesso: accesso esterno; (z.d. 1)";VIA ;MEDA GIUSEPPE;;5242;5;hass dal 1811;non alimentare;;380;380
"VIA S. GIOV. SUL MURO N. 18 in distribuzione;via s. giov. sul muro 018; isolato:291; accesso: accesso esterno; (z.d. 1)";VIA ;S. GIOV. SUL MURO;18;609;1;brandy;non alimentare;;380;380
"VIA DE MARCHI EMILIO N. 37 ; isolato:064; accesso: accesso esterno; (z.d. 2)";VIA ;DE MARCHI EMILIO;37;1418;2;castelli elaborazioni elt;"non alimentare;tabella speciale carburanti";;380;380
"LGO AUGUSTO N. 8 ;lgo augusto 008; isolato:320; accesso: accesso esterno; (z.d. 1)";LGO ;AUGUSTO;8;315;1;picking pack service;non alimentare;;380;380
"VIA PIERO DELLA FRANCESCA N. 57 aff. az. tacit. rinnov.; isolato:025; accesso: accesso esterno; (z.d. 8)";VIA ;PIERO DELLA FRANCESCA;57;7188;8;punto sma;"alimentare;non alimentare";;410;380
BST DI PORTA VOLTA N. 7 (z.d. 1);BST ;DI PORTA VOLTA;7;1066;1;;non alimentare;;595;380
"CSO BUENOS AIRES N. 23 ; isolato:078; accesso: accesso esterno; (z.d. 3)";CSO ;BUENOS AIRES;23;2129;3;gb sportelli;non alimentare;;445;381
"VIA PIRELLI GIOVANNI BATTISTA N. 30 ; isolato:297; accesso: accesso esterno; (z.d. 9)";VIA ;PIRELLI GIOVANNI BATTISTA;30;1195;9;;"alimentare;non alimentare";;381;381
CSO BUENOS AIRES N. 23 (z.d. 3);CSO ;BUENOS AIRES;23;2129;3;;non alimentare;;445;381
CSO BUENOS AIRES N. 23 (z.d. 3);CSO ;BUENOS AIRES;23;2129;3;;Non Alimentare;;445;381
"VIA PARAVIA PIER ALESSANDRO N. 77 ; isolato:241; accesso: accesso esterno; (z.d. 7)";VIA ;PARAVIA PIER ALESSANDRO;77;6571;7;di per di;"alimentare;non alimentare";;556;382
"VIA GIOIA MELCHIORRE num.177/179; isolato:120; accesso: accesso esterno; (z.d. 2)";;;;;;flli fumagalli garden;non alimentare;;382;382
"GLL PASSARELLA N. 2 ;gll passarella 002; isolato:360; accesso: accesso esterno; (z.d. 1)";GLL ;PASSARELLA;2;303;1;nadine;non alimentare;;472;382
CSO VITTORIO EMANUELE II N. 37B (z.d. 1);CSO ;VITTORIO EMANUELE II;37B;214;1;;Non Alimentare;;676;382
"VIA SPADARI N. 1 ;via spadari 001; isolato:440; accesso: accesso esterno; (z.d. 1)";VIA ;SPADARI;1;518;1;bershka;non alimentare;;695;384
"CSO MATTEOTTI GIACOMO N. 14 ;cso matteotti giacomo 014; isolato:316; accesso: accesso esterno; (z.d. 1)";CSO ;MATTEOTTI GIACOMO;14;218;1;;"alimentare;non alimentare";;384;384
"VIA PANZERI PIETRO N. 10 ; isolato:053; accesso: accesso esterno; (z.d. 1)";VIA ;PANZERI PIETRO;10;5183;1;;non alimentare;;384;384
"VIA VESPRI SICILIANI N. 51 ; isolato:148; accesso: accesso interno; (z.d. 6)";VIA ;VESPRI SICILIANI;51;5137;6;proto arredamenti;non alimentare;;384;384
"CSO SAN GOTTARDO N. 35 ; isolato:114; accesso: accesso esterno; (z.d. 5)";CSO ;SAN GOTTARDO;35;5203;5;;non alimentare;;450;384
"VIA SISMONDI GIANCARLO N. 70 loc,interno; isolato:247; accesso: accesso interno; (z.d. 4)";VIA ;SISMONDI GIANCARLO;70;3256;4;;non alimentare;;385;385
"VLE CASSALA N. 15 ; isolato:059; accesso: accesso esterno; (z.d. 6)";VLE ;CASSALA;15;5275;6;;"alimentare;non alimentare";;385;385
"VIA SANT' ANDREA num.008/a; isolato:261; accesso: accesso esterno; (z.d. 1)";VIA ;SANT' ANDREA;;222;1;banner;non alimentare;;0;386
"VLE MONZA N. 9 ; isolato:346; accesso: accesso esterno; (z.d. 2)";VLE ;MONZA;9;2274;2;;non alimentare;;387;387
"VIA CANONICA LUIGI N. 54 aff. az. tacit. rinnov.; isolato:106; accesso: accesso esterno; (z.d. 1)";VIA ;CANONICA LUIGI;54;7121;1;punto sma;"alimentare;non alimentare";;833;388
"VLE DI PORTA VERCELLINA N. 16 ; isolato:237; accesso: accesso esterno; (z.d. 1)";VLE ;DI PORTA VERCELLINA;16;6213;1;;non alimentare;;0;388
"PTA GIORDANO UMBERTO N. 4 aff.za tacitamente rinnovabile;pta giordano umberto 004; isolato:264; accesso: accesso esterno; (z.d. 1)";PTA ;GIORDANO UMBERTO;4;345;1;;non alimentare;;390;390
"VIA GIULINI GIORGIO N. 2 ;via giulini giorgio 002; isolato:371; accesso: accesso esterno; (z.d. 1)";VIA ;GIULINI GIORGIO;2;613;1;;non alimentare;81;471;390
"VIA QUARENGHI GIACOMO N. 23 ; isolato:300; accesso: accesso interno; (z.d. 8)";VIA ;QUARENGHI GIACOMO;23;7478;8;interno ipercoop;non alimentare;;390;390
VIA SANTA MARIA VALLE N. 3 (z.d. 1);VIA ;SANTA MARIA VALLE;3;535;1;;non alimentare;510;900;390
"VIA MONVISO N. 34 ; isolato:055; accesso: accesso esterno; (z.d. 8)";VIA ;MONVISO;34;7212;8;pabocar service;non alimentare;;390;390
"VIA PORPORA NICOLA ANTONIO N. 125 ; isolato:014; accesso: accesso esterno; (z.d. 3)";VIA ;PORPORA NICOLA ANTONIO;125;2229;3;carrefour;"alimentare;non alimentare";;507;390
"VIA TEANO N. 6 ; isolato:006; accesso: accesso esterno; (z.d. 9)";VIA ;TEANO;6;1632;9;carrefour;"alimentare;non alimentare";;444;390
VIA QUARENGHI GIACOMO N. 40 (z.d. 8);VIA ;QUARENGHI GIACOMO;40;7478;8;;non alimentare;;390;390
"VIA MAFFUCCI ANGIOLO N. 4 ; isolato:063; accesso: accesso esterno; (z.d. 9)";VIA ;MAFFUCCI ANGIOLO;4;1276;9;idea bricolage;non alimentare;;390;390
"VIA NOE ENRICO N. 43 aff. az. tacit. rinnov.; isolato:092; accesso: accesso esterno; (z.d. 3)";VIA ;NOE ENRICO;43;2211;3;punto sma;"alimentare;non alimentare";;390;390
"VIA DARWIN CARLO ROBERTO N. 2 ; isolato:081; accesso: accesso esterno; (z.d. 6)";VIA ;DARWIN CARLO ROBERTO;2;5238;6;di perdi;"alimentare;non alimentare";;518;390
"VIA CASATI FELICE N. 8 aff. az. tacit. rinnov.; isolato:075; accesso: accesso esterno; (z.d. 3)";VIA ;CASATI FELICE;8;2122;3;euro discount;"alimentare;non alimentare";;500;390
"VLE CERTOSA N. 177 ; isolato:222; accesso: accesso esterno; (z.d. 8)";VLE ;CERTOSA;177;7174;8;elettrica ceriani/murrina;non alimentare;;391;391
"VIA DELLA SPIGA N. 2 ;via della spiga 002; isolato:189; accesso: accesso esterno; (z.d. 1)";VIA ;DELLA SPIGA;2;226;1;dolce e gabbana;non alimentare;;392;392
"VLE PIAVE N. 27 ; isolato:152; accesso: accesso esterno; (z.d. 1)";VLE ;PIAVE;27;2179;1;spotti modern living;non alimentare;;393;393
"VIA TOFFETTI VINCENZO N. 9 ; isolato:074; accesso: accesso interno; (z.d. 4)";VIA ;TOFFETTI VINCENZO;9;4188;4;docks dora;non alimentare;;393;393
"VLE MONZA N. 23 ; isolato:346; accesso: accesso esterno; (z.d. 2)";VLE ;MONZA;23;2274;2;mobili vercesi;non alimentare;75;470;395
"VIA LOMAZZO PAOLO N. 41 ; isolato:054; accesso: accesso esterno; (z.d. 8)";VIA ;LOMAZZO PAOLO;41;7079;8;carrefour;"alimentare;non alimentare";;467;395
"PZA SANTA FRANCESCA ROMANA N. 3 ; isolato:108; accesso: accesso esterno; (z.d. 3)";PZA ;SANTA FRANCESCA ROMANA;3;2183;3;playlife;"alimentare;non alimentare";;500;395
VIA TORINO N. 44 (z.d. 1);VIA ;TORINO;44;543;1;;non alimentare;;621;395
"VIA PELLINI EUGENIO N. 3 ; isolato:123; accesso: accesso esterno; (z.d. 2)";VIA ;PELLINI EUGENIO;3;1482;2;;non alimentare;;396;396
CSO EUROPA N. 12 (z.d. 1);CSO ;EUROPA;12;300;1;;"Alimentare;Tabella speciale Farmacie";;792;396
"VIA SANTA MARIA ALLA PORTA N. 1 ;vlo santa maria alla porta 001; isolato:346; accesso: accesso esterno; (z.d. 1)";VIA ;SANTA MARIA ALLA PORTA;1;620;1;ader;Non Alimentare;;506;397
"VIA CANONICA LUIGI N. 54 ; isolato:106; accesso: accesso esterno; (z.d. 1)";VIA ;CANONICA LUIGI;54;7121;1;supermercato;"alimentare;non alimentare";;397;397
"VLE TESTI FULVIO N. 90 ; isolato:145; accesso: accesso esterno; (z.d. 9)";VLE ;TESTI FULVIO;90;1441;9;farmacia scevola;tabella speciale farmacie;;624;397
"VIA SAN MARCO N. 26 ; isolato:177; accesso: accesso esterno; (z.d. 1)";VIA ;SAN MARCO;26;1036;1;;non alimentare;105;503;398
"VIA VALLAZZE N. 104 ; accesso: accesso esterno; (z.d. 3)";VIA ;VALLAZZE;104;2250;3;unes  u! come tu mi vuoi;"alimentare;non alimentare";;418;398
"VIA INAMA VIRGILIO N. 4 ; isolato:162; accesso: accesso esterno; (z.d. 3)";VIA ;INAMA VIRGILIO;4;3169;3;carrefour;"alimentare;non alimentare";;761;398
