Ubicazione;TipoVia;DescrizioneVia;Civico;CodiceVia;ZD;superficie_altri_usi;superficie_lavorativa;tipo_eser_pa;;;;;;;
"VIA TORRICELLI EVANGELISTA N. 21 ; (z.d. 5)";VIA ;TORRICELLI EVANGELISTA;21;5240;5;2;16;Parrucchiere per uomo;;;;;;;
"VIA TORRICELLI EVANGELISTA N. 10 ; (z.d. 5)";VIA ;TORRICELLI EVANGELISTA;10;5240;5;;26;Parrucchiere per signora;;;;;;;
"VIA VIGNOLA N. 2 ; (z.d. 5)";VIA ;VIGNOLA;2;4054;5;2;20;Parrucchiere per signora;;;;;;;
"VIA VITTADINI CARLO N. 7 ; (z.d. 5)";VIA ;VITTADINI CARLO;7;4055;5;4;18;Parrucchiere per uomo;;;;;;;
"VIA TIRABOSCHI GEROLAMO N. 6 ; (z.d. 4)";VIA ;TIRABOSCHI GEROLAMO;6;4072;4;2;;Parrucchiere per signora;;;;;;;
"VIA TIRABOSCHI GEROLAMO N. 15 ; (z.d. 4)";VIA ;TIRABOSCHI GEROLAMO;15;4072;4;;;TIPO A - REG.2003;;;;;;;
"VIA TITO LIVIO N. 11 ; (z.d. 4)";VIA ;TITO LIVIO;11;4086;4;;48;"Parrucchiere per uomo;TIPO A ESTETICA MANUALE;TIPO D ESTET.APPAR.ELETTROMECC;TIPO C TRATT.ESTETICI DIMAGRIM;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA TITO LIVIO N. 20 ; (z.d. 4)";VIA ;TITO LIVIO;20;4086;4;;;ACCONCIATORE;;;;;;;
"VIA TITO LIVIO N. 26 ; (z.d. 4)";VIA ;TITO LIVIO;26;4086;4;;;ACCONCIATORE;;;;;;;
"VIA TITO LIVIO N. 33 ; (z.d. 4)";VIA ;TITO LIVIO;33;4086;4;;31;Parrucchiere per signora;;;;;;;
"VIA TITO LIVIO N. 37 ; (z.d. 4)";VIA ;TITO LIVIO;37;4086;4;6;15;Parrucchiere per uomo;;;;;;;
"VIA DEL TURCHINO N. 4 ; (z.d. 4)";VIA ;DEL TURCHINO;4;3337;4;;15;Parrucchiere per signora;;;;;;;
"VIA DEL TURCHINO N. 10 ; (z.d. 4)";VIA ;DEL TURCHINO;10;3337;4;;;Parrucchiere per signora;;;;;;;
"VIA DEL TURCHINO N. 10 ; (z.d. 4)";VIA ;DEL TURCHINO;10;3337;4;;;Parrucchiere per uomo;;;;;;;
"VIA DEL TURCHINO N. 15 ; (z.d. 4)";VIA ;DEL TURCHINO;15;3337;4;;31;Parrucchiere per signora;;;;;;;
"VIA DEL TURCHINO N. 17 ; (z.d. 4)";VIA ;DEL TURCHINO;17;3337;4;;27;Estetista;;;;;;;
"VLE UMBRIA N. 9 ; (z.d. 4)";VLE ;UMBRIA;9;3145;4;;33;ACCONCIATORE;;;;;;;
"VLE UMBRIA N. 22 ; (z.d. 4)";VLE ;UMBRIA;22;3145;4;;;"TIPO A ESTETICA MANUALE;TIPO D ESTET.APPAR.ELETTROMECC;TIPO C TRATT.ESTETICI DIMAGRIM";;;;;;;
"VLE UMBRIA N. 94 ; (z.d. 4)";VLE ;UMBRIA;94;3145;4;;;Parrucchiere per signora;;;;;;;
"VIA VENOSA N. 6 ; (z.d. 4)";VIA ;VENOSA;6;4097;4;1;35;Parrucchiere per signora;;;;;;;
"PZA ADIGRAT N. 3 ; (z.d. 4)";PZA ;ADIGRAT;3;3286;4;8;45;"Parrucchiere per signora;TIPO A ESTETICA MANUALE;TIPO D ESTET.APPAR.ELETTROMECC;TIPO C TRATT.ESTETICI DIMAGRIM";;;;;;;
"VIA AJACCIO N. 4 ; (z.d. 3)";VIA ;AJACCIO;4;3246;3;3;35;Parrucchiere per signora;;;;;;;
"VIA AMADEO GIAN ANTONIO N. 28 ; (z.d. 3)";VIA ;AMADEO GIAN ANTONIO;28;3228;3;2;17;Parrucchiere per signora;;;;;;;
"VIA AMADEO GIAN ANTONIO N. 35 ; (z.d. 3)";VIA ;AMADEO GIAN ANTONIO;35;3228;3;2;18;Parrucchiere per uomo;;;;;;;
"VIA AMADEO GIAN ANTONIO N. 54 ; (z.d. 3)";VIA ;AMADEO GIAN ANTONIO;54;3228;3;9;16;Parrucchiere per uomo;;;;;;;
"VIA AMPERE ANDREA MARIA N. 65 ; (z.d. 3)";VIA ;AMPERE ANDREA MARIA;65;2428;3;3;16;Parrucchiere per signora;;;;;;;
"VIA AMPERE ANDREA MARIA N. 103 ; (z.d. 3)";VIA ;AMPERE ANDREA MARIA;103;2428;3;;30;Parrucchiere per signora;;;;;;;
"VIA AMPERE ANDREA MARIA N. 123 ; (z.d. 3)";VIA ;AMPERE ANDREA MARIA;123;2428;3;1;32;ACCONCIATORE;;;;;;;
"VLE ARGONNE N. 10 ; (z.d. 4)";VLE ;ARGONNE;10;3254;4;;24;ACCONCIATORE;;;;;;;
"VLE ARGONNE N. 11 ; (z.d. 3)";VLE ;ARGONNE;11;3254;3;;19;Parrucchiere per signora;;;;;;;
"VLE ARGONNE N. 52 ; (z.d. 4)";VLE ;ARGONNE;52;3254;4;;60;Parrucchiere per signora;;;;;;;
"VLE ARGONNE N. 53 ; (z.d. 3)";VLE ;ARGONNE;53;3254;3;2;37;Parrucchiere per signora;;;;;;;
"VIA ARNO' RICCARDO N. 6 ; (z.d. 3)";VIA ;ARNO' RICCARDO;6;3230;3;;17;Parrucchiere per signora;;;;;;;
"VIA ASELLI GASPARE N. 5 ; (z.d. 3)";VIA ;ASELLI GASPARE;5;3167;3;;;ACCONCIATORE;;;;;;;
"VIA ASELLI GASPARE N. 7 ; (z.d. 3)";VIA ;ASELLI GASPARE;7;3167;3;4;21;Parrucchiere per uomo;;;;;;;
"PZA ASPROMONTE N. 31 ; (z.d. 3)";PZA ;ASPROMONTE;31;2246;3;;26;Parrucchiere per signora;;;;;;;
"VIA BARDELLI GIUSEPPE N. 12 ; (z.d. 3)";VIA ;BARDELLI GIUSEPPE;12;2578;3;;18;Parrucchiere per signora;;;;;;;
"VIA BASSINI EDOARDO N. 41 ; (z.d. 3)";VIA ;BASSINI EDOARDO;41;2587;3;;19;Parrucchiere per uomo;;;;;;;
"VIA BASSINI EDOARDO N. 45 ; (z.d. 3)";VIA ;BASSINI EDOARDO;45;2587;3;;17;Parrucchiere per uomo;;;;;;;
"VIA BATTISTOTTI SASSI LUISA N. 2 ; (z.d. 4)";VIA ;BATTISTOTTI SASSI LUISA;2;3273;4;;17;Parrucchiere per uomo;;;;;;;
"VIA BATTISTOTTI SASSI LUISA N. 8 ; (z.d. 4)";VIA ;BATTISTOTTI SASSI LUISA;8;3273;4;;52;Parrucchiere per signora;;;;;;;
"VIA BAZZINI ANTONIO N. 27 ; (z.d. 3)";VIA ;BAZZINI ANTONIO;27;2427;3;;32;Parrucchiere per signora;;;;;;;
"VIA BERUTO CESARE N. 13 ; (z.d. 3)";VIA ;BERUTO CESARE;13;2586;3;;35;Parrucchiere per signora;;;;;;;
"VIA BOTTICELLI SANDRO N. 2 ; (z.d. 3)";VIA ;BOTTICELLI SANDRO;2;3203;3;3;60;"Parrucchiere per uomo;Parrucchiere per signora;Parrucchiere misto";;;;;;;
"VIA BRIOSI GIOVANNI N. 8 ; (z.d. 3)";VIA ;BRIOSI GIOVANNI;8;3209;3;;16;Parrucchiere per uomo;;;;;;;
"VIA BROCCHI GIAN BATTISTA N. 19 ; (z.d. 3)";VIA ;BROCCHI GIAN BATTISTA;19;2562;3;;41;TIPO A-B-C-D;;;;;;;
"VIA BRONZINO N. 1 ; (z.d. 3)";VIA ;BRONZINO;1;2191;3;;54;"Parrucchiere per signora;TIPO A - REG.2003";;;;;;;
"VIA CAMERINI EUGENIO N. 7 ; (z.d. 3)";VIA ;CAMERINI EUGENIO;7;2551;3;7;55;Parrucchiere per signora;;;;;;;
"VLE CAMPANIA N. 20 ; (z.d. 4)";VLE ;CAMPANIA;20;3100;4;3;25;Parrucchiere per signora;;;;;;;
"VLE CAMPANIA N. 40 ; (z.d. 4)";VLE ;CAMPANIA;40;3100;4;5;20;Parrucchiere per uomo;;;;;;;
"VIA CARPI EUGENIO N. 4 ; (z.d. 3)";VIA ;CARPI EUGENIO;4;2557;3;;34;Parrucchiere misto;;;;;;;
"VIA CASORETTO N. 1 ; (z.d. 3)";VIA ;CASORETTO;1;2420;3;9;20;Parrucchiere per signora;;;;;;;
"VIA CASORETTO N. 5 ; (z.d. 3)";VIA ;CASORETTO;5;2420;3;6;22;Parrucchiere per uomo;;;;;;;
"VIA CASORETTO N. 7 ; (z.d. 3)";VIA ;CASORETTO;7;2420;3;;37;Parrucchiere per signora;;;;;;;
"VIA CASORETTO N. 37 ; (z.d. 3)";VIA ;CASORETTO;37;2420;3;;;Parrucchiere per signora;;;;;;;
"VIA CASORETTO N. 43 ; (z.d. 3)";VIA ;CASORETTO;43;2420;3;;;Parrucchiere per uomo;;;;;;;
"VIA CATALANI ALFREDO N. 35 ; (z.d. 3)";VIA ;CATALANI ALFREDO;35;2425;3;4;30;Parrucchiere per signora;;;;;;;
"VIA CERADINI GIULIO N. 24 ; (z.d. 3)";VIA ;CERADINI GIULIO;24;3109;3;;26;TIPO C TRATT.ESTETICI DIMAGRIM;;;;;;;
"VIA DEI CONTARINI N. 7 ; (z.d. 3)";VIA ;DEI CONTARINI;7;3172;3;;37;"Parrucchiere per signora;TIPO A ESTETICA MANUALE";;;;;;;
"VLE CORSICA N. 12 ; (z.d. 4)";VLE ;CORSICA;12;3262;4;;55;TIPO A-B-C-D;;;;;;;
"VLE CORSICA N. 16 ; (z.d. 4)";VLE ;CORSICA;16;3262;4;;15;ACCONCIATORE;;;;;;;
"VLE CORSICA N. 35 ; (z.d. 4)";VLE ;CORSICA;35;3262;4;10;43;Parrucchiere per signora;;;;;;;
"VLE CORSICA N. 41 ; (z.d. 4)";VLE ;CORSICA;41;3262;4;2;16;Parrucchiere per uomo;;;;;;;
"VLE CORSICA N. 58 ; (z.d. 4)";VLE ;CORSICA;58;3262;4;;46;Parrucchiere per signora;;;;;;;
"VLE CORSICA N. 64 ; (z.d. 4)";VLE ;CORSICA;64;3262;4;;20;Parrucchiere per signora;;;;;;;
"VLE CORSICA N. 81 ; (z.d. 4)";VLE ;CORSICA;81;3262;4;;24;Parrucchiere per uomo;;;;;;;
"VIA COSTA ANDREA N. 4 ; (z.d. 3)";VIA ;COSTA ANDREA;4;2276;3;;36;ACCONCIATORE;;;;;;;
"VIA DALL'ONGARO FRANCESCO N. 2 ; (z.d. 4)";VIA ;DALL'ONGARO FRANCESCO;2;3287;4;2;28;ACCONCIATORE;;;;;;;
"VIA DESIDERIO N. 28 ; (z.d. 3)";VIA ;DESIDERIO;28;2565;3;;22;Parrucchiere per signora;;;;;;;
"VIA DONATELLO N. 22 ; (z.d. 3)";VIA ;DONATELLO;22;2214;3;;39;Parrucchiere per signora;;;;;;;
"VIA DONATELLO N. 27 ; (z.d. 3)";VIA ;DONATELLO;27;2214;3;;18;ACCONCIATORE;;;;;;;
"VIA DONATELLO N. 32 ; (z.d. 3)";VIA ;DONATELLO;32;2214;3;;37;ACCONCIATORE;;;;;;;
"VIA DONATELLO N. 37 ; (z.d. 3)";VIA ;DONATELLO;37;2214;3;;94;Parrucchiere per signora;;;;;;;
"PZA FERRAVILLA EDOARDO N. 3 ; (z.d. 3)";PZA ;FERRAVILLA EDOARDO;3;3125;3;2;30;Parrucchiere per signora;;;;;;;
"VIA GALENO CLAUDIO N. 6 ; (z.d. 2)";VIA ;GALENO CLAUDIO;6;2447;2;19;27;"TIPO A ESTETICA MANUALE;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA GIACOSA GIUSEPPE N. 57 ; (z.d. 2)";VIA ;GIACOSA GIUSEPPE;57;2310;2;8;42;TIPO A ESTETICA MANUALE;;;;;;;
"PZA FUSINA ANDREA N. 2 ; (z.d. 3)";PZA ;FUSINA ANDREA;2;3300;3;;32;"Parrucchiere per uomo;Parrucchiere per signora";;;;;;;
"VIA GAIO N. 10 ; (z.d. 3)";VIA ;GAIO;10;3127;3;6;39;"Parrucchiere per uomo;Parrucchiere per signora;Parrucchiere misto;TIPO A ESTETICA MANUALE;TIPO C TRATT.ESTETICI DIMAGRIM;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA GALLINA GIACINTO N. 1 ; (z.d. 3)";VIA ;GALLINA GIACINTO;1;3105;3;;26;Parrucchiere per uomo;;;;;;;
"VLE ROMAGNA N. 2 ; (z.d. 3)";VLE ;ROMAGNA;2;3102;3;;38;"Parrucchiere per signora;TIPO A ESTETICA MANUALE;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA GOLDONI CARLO N. 77 ; (z.d. 6)";VIA ;GOLDONI CARLO;77;3183;3;;39;Acconciatore;;;;;;;
"VIA GOZZANO GUIDO N. 4 ; (z.d. 3)";VIA ;GOZZANO GUIDO;4;2563;3;4;58;Parrucchiere per signora;;;;;;;
"PZA GRANDI GIUSEPPE N. 1 ; (z.d. 4)";PZA ;GRANDI GIUSEPPE;1;3112;4;;;Parrucchiere per signora;;;;;;;
"PZA GRANDI GIUSEPPE N. 5 ; (z.d. 4)";PZA ;GRANDI GIUSEPPE;5;3112;4;;25;Parrucchiere per signora;;;;;;;
"PZA GRANDI GIUSEPPE N. 5 ; (z.d. 4)";PZA ;GRANDI GIUSEPPE;5;3112;4;15;55;Parrucchiere per uomo;;;;;;;
"PZA GRANDI GIUSEPPE N. 22 ; (z.d. 4)";PZA ;GRANDI GIUSEPPE;22;3112;4;;27;"Parrucchiere per signora;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VLE GRAN SASSO N. 3 ; (z.d. 3)";VLE ;GRAN SASSO;3;2243;3;;;Parrucchiere per signora;;;;;;;
"VLE GRAN SASSO N. 23 ; (z.d. 3)";VLE ;GRAN SASSO;23;2243;3;;;Parrucchiere per signora;;;;;;;
"VLE GRAN SASSO N. 38 ; (z.d. 3)";VLE ;GRAN SASSO;38;2243;3;;61;Parrucchiere per signora;;;;;;;
"VIA GRASSELLI ANNIBALE N. 19 ; (z.d. 4)";VIA ;GRASSELLI ANNIBALE;19;3268;4;11;30;Parrucchiere per signora;;;;;;;
"VIA GROSSICH ANTONIO N. 11 ; (z.d. 3)";VIA ;GROSSICH ANTONIO;11;2576;3;;35;Parrucchiere per signora;;;;;;;
"PZA GUARDI FRANCESCO N. 15 ; (z.d. 3)";PZA ;GUARDI FRANCESCO;15;3312;3;;28;Parrucchiere per signora;;;;;;;
"LGO TEL AVIV N. 5 ; (z.d. 2)";LGO ;TEL AVIV;5;2639;2;2;23;Pedicure estetico;;;;;;;
"VLE MONZA N. 208 piano primo; (z.d. 2)";VLE ;MONZA;208;2274;2;;48;TIPO A-B-C-D;;;;;;;
"VIA GROSSICH ANTONIO N. 17 ; (z.d. 3)";VIA ;GROSSICH ANTONIO;17;2576;3;3;36;Parrucchiere misto;;;;;;;
"VIA ILLIRICO N. 6 ; (z.d. 3)";VIA ;ILLIRICO;6;3245;3;2;17;Parrucchiere per uomo;;;;;;;
"VIA INAMA VIRGILIO N. 1 ; (z.d. 3)";VIA ;INAMA VIRGILIO;1;3169;3;;;Parrucchiere per signora;;;;;;;
"VIA INAMA VIRGILIO N. 10 ; (z.d. 3)";VIA ;INAMA VIRGILIO;10;3169;3;;32;ACCONCIATORE;;;;;;;
"VIA INGEGNOLI FRANCESCO N. 2 ; (z.d. 3)";VIA ;INGEGNOLI FRANCESCO;2;2559;3;;20;Parrucchiere per signora;;;;;;;
"VIA LAMBRATE N. 5 ; (z.d. 3)";VIA ;LAMBRATE;5;2421;3;5;28;Parrucchiere per signora;;;;;;;
"VIA TEODOSIO N. 82 p. rialzato; (z.d. 3)";VIA ;TEODOSIO;82;2550;3;;43;Pedicure estetico;;;;;;;
"VIA LEONCAVALLO RUGGERO N. 33 ; (z.d. 2)";VIA ;LEONCAVALLO RUGGERO;33;2389;2;6;28;Parrucchiere per signora;;;;;;;
"VIA LIPPI FILIPPINO N. 10 ; (z.d. 3)";VIA ;LIPPI FILIPPINO;10;2196;3;;;Parrucchiere per signora;;;;;;;
"VLE LOMBARDIA N. 65 ; (z.d. 3)";VLE ;LOMBARDIA;65;2400;3;;;ACCONCIATORE;;;;;;;
"VIA LOMELLINA N. 5 ; (z.d. 4)";VIA ;LOMELLINA;5;3280;4;12;22;ACCONCIATORE;;;;;;;
"VIA LOMELLINA N. 48 ; (z.d. 4)";VIA ;LOMELLINA;48;3280;4;3;27;ACCONCIATORE;;;;;;;
"VIA LOMELLINA N. 56 ; (z.d. 4)";VIA ;LOMELLINA;56;3280;4;;29;Parrucchiere per signora;;;;;;;
"PLE LORETO N. 1 ; (z.d. 2)";PLE ;LORETO;1;2264;2;;36;Parrucchiere per signora;;;;;;;
"VIA LULLI GIOVANNI N. 1 ; (z.d. 3)";VIA ;LULLI GIOVANNI;1;2253;3;;35;Parrucchiere per signora;;;;;;;
"VIA MANGIAGALLI LUIGI N. 5 ; (z.d. 3)";VIA ;MANGIAGALLI LUIGI;5;3202;3;3;63;"TIPO A ESTETICA MANUALE;TIPO C TRATT.ESTETICI DIMAGRIM;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA MARCONA N. 70 ; (z.d. 4)";VIA ;MARCONA;70;3080;4;;42;Parrucchiere per signora;;;;;;;
"VIA MARESCALCHI FERDINANDO N. 11 ; (z.d. 3)";VIA ;MARESCALCHI FERDINANDO;11;3315;3;;44;Parrucchiere per signora;;;;;;;
"VIA MASOTTO UMBERTO N. 20 ; (z.d. 4)";VIA ;MASOTTO UMBERTO;20;3283;4;9;21;Parrucchiere per signora;;;;;;;
"VIA CARDINALE MEZZOFANTI N. 2 ; (z.d. 4)";VIA ;CARDINALE MEZZOFANTI;2;3277;4;3;32;Parrucchiere per signora;;;;;;;
"VIA CARDINALE MEZZOFANTI N. 29 ; (z.d. 4)";VIA ;CARDINALE MEZZOFANTI;29;3277;4;;31;"Parrucchiere per uomo;Parrucchiere per signora;Parrucchiere misto";;;;;;;
"VIA NEGROLI N. 11 ; (z.d. 4)";VIA ;NEGROLI;11;3279;4;;37;Parrucchiere per signora;;;;;;;
"VIA NEGROLI N. 13 ; (z.d. 4)";VIA ;NEGROLI;13;3279;4;10;19;Parrucchiere per uomo;;;;;;;
"VIA DEGLI OROMBELLI N. 15 ; (z.d. 3)";VIA ;DEGLI OROMBELLI;15;2579;3;;;TIPO A ESTETICA MANUALE;;;;;;;
"VIA PACINI GIOVANNI N. 15 ; (z.d. 3)";VIA ;PACINI GIOVANNI;15;2571;3;;36;"ACCONCIATORE;TIPO A - REG.2003";;;;;;;
"VIA PACINI GIOVANNI N. 22 ; (z.d. 3)";VIA ;PACINI GIOVANNI;22;2571;3;;34;Parrucchiere per signora;;;;;;;
"VIA PACINI GIOVANNI N. 33 ; (z.d. 3)";VIA ;PACINI GIOVANNI;33;2571;3;;17;Parrucchiere per uomo;;;;;;;
"VIA PACINI GIOVANNI N. 70 ; (z.d. 3)";VIA ;PACINI GIOVANNI;70;2571;3;1;47;Parrucchiere per signora;;;;;;;
"VIA PASCOLI GIOVANNI N. 2 ; (z.d. 3)";VIA ;PASCOLI GIOVANNI;2;3132;3;;86;Acconciatore;;;;;;;
"VIA PASCOLI GIOVANNI N. 56 ; (z.d. 3)";VIA ;PASCOLI GIOVANNI;56;3132;3;6;29;Parrucchiere per uomo;;;;;;;
"VIA PLINIO CAIO SECONDO N. 51 ; (z.d. 3)";VIA ;PLINIO CAIO SECONDO;51;2144;3;;16;ACCONCIATORE;;;;;;;
"VIA PLINIO CAIO SECONDO N. 63 ; (z.d. 3)";VIA ;PLINIO CAIO SECONDO;63;2144;3;1;40;Parrucchiere per signora;;;;;;;
"VIA PLINIO CAIO SECONDO N. 63 ; (z.d. 3)";VIA ;PLINIO CAIO SECONDO;63;2144;3;14;32;"Parrucchiere per signora;TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA PORPORA NICOLA ANTONIO N. 14 ; (z.d. 3)";VIA ;PORPORA NICOLA ANTONIO;14;2229;3;2;18;Parrucchiere per signora;;;;;;;
"VIA PORPORA NICOLA ANTONIO N. 89 ; (z.d. 3)";VIA ;PORPORA NICOLA ANTONIO;89;2229;3;;37;Parrucchiere per signora;;;;;;;
"VIA PORPORA NICOLA ANTONIO N. 107 ; (z.d. 3)";VIA ;PORPORA NICOLA ANTONIO;107;2229;3;11;22;Parrucchiere per signora;;;;;;;
"VIA PORPORA NICOLA ANTONIO N. 109 ; (z.d. 3)";VIA ;PORPORA NICOLA ANTONIO;109;2229;3;;18;Parrucchiere per uomo;;;;;;;
"VIA BUONARROTI MICHELANGELO N. 4 ; (z.d. 7)";VIA ;BUONARROTI MICHELANGELO;4;6253;7;;74;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA PORPORA NICOLA ANTONIO N. 126 ; (z.d. 3)";VIA ;PORPORA NICOLA ANTONIO;126;2229;3;4;24;Parrucchiere per signora;;;;;;;
"VIA PORPORA NICOLA ANTONIO N. 146 piano rialzato; (z.d. 3)";VIA ;PORPORA NICOLA ANTONIO;146;2229;3;;22;TIPO A - REG.2003;;;;;;;
"VIA PORPORA NICOLA ANTONIO N. 151 ; (z.d. 3)";VIA ;PORPORA NICOLA ANTONIO;151;2229;3;;;Parrucchiere per uomo;;;;;;;
"VIA PORPORA NICOLA ANTONIO N. 167 ; (z.d. 3)";VIA ;PORPORA NICOLA ANTONIO;167;2229;3;;43;Parrucchiere per signora;;;;;;;
"VIA REINA FRANCESCO N. 11 ; (z.d. 4)";VIA ;REINA FRANCESCO;11;3255;4;;;"TIPO A - REG.2003;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VIA RICORDI GIOVANNI N. 30 ; (z.d. 3)";VIA ;RICORDI GIOVANNI;30;2251;3;;29;ACCONCIATORE;;;;;;;
"VLE ROMAGNA N. 50 ; (z.d. 3)";VLE ;ROMAGNA;50;3102;3;;26;Parrucchiere per signora;;;;;;;
"VLE ROMAGNA num.0562; (z.d. 3)";;;;;;2;72;"TIPO A ESTETICA MANUALE;TIPO C TRATT.ESTETICI DIMAGRIM;TIPO B CENTRO DI ABBRONZATURA";;;;;;;
"VLE ROMAGNA N. 67 ; (z.d. 3)";VLE ;ROMAGNA;67;3102;3;3;38;"Manicure;Parrucchiere per signora";;;;;;;
"VIA SANGALLO N. 31 ; (z.d. 3)";VIA ;SANGALLO;31;3208;3;19;18;Acconciatore;;;;;;;
"VIA SANSOVINO N. 28 ; (z.d. 3)";VIA ;SANSOVINO;28;2213;3;;;Parrucchiere per uomo;;;;;;;
"VIA SISMONDI GIANCARLO N. 1 ; (z.d. 4)";VIA ;SISMONDI GIANCARLO;1;3256;4;6;20;Parrucchiere per uomo;;;;;;;
"VIA SISMONDI GIANCARLO N. 36 ; (z.d. 4)";VIA ;SISMONDI GIANCARLO;36;3256;4;;43;Parrucchiere per signora;;;;;;;
"VIA SISMONDI GIANCARLO N. 48 ; (z.d. 4)";VIA ;SISMONDI GIANCARLO;48;3256;4;;32;Parrucchiere per signora;;;;;;;
"VIA SMAREGLIA ANTONIO N. 1 ; (z.d. 4)";VIA ;SMAREGLIA ANTONIO;1;3284;4;3;45;ACCONCIATORE;;;;;;;
"PLE SUSA N. 6 ; (z.d. 4)";PLE ;SUSA;6;3101;4;;;Parrucchiere per signora;;;;;;;
VIA TAJANI FILIPPO N. 11 (z.d. 3);VIA ;TAJANI FILIPPO;11;3235;3;;;Acconciatore;;;;;;;
"VIA TEODOSIO N. 6 ; (z.d. 3)";VIA ;TEODOSIO;6;2550;3;;23;"Parrucchiere per signora;TIPO A - REG.2003";;;;;;;
"VIA TEODOSIO N. 20 ; (z.d. 3)";VIA ;TEODOSIO;20;2550;3;3;30;Parrucchiere per signora;;;;;;;
"VIA TEODOSIO N. 56 ; (z.d. 3)";VIA ;TEODOSIO;56;2550;3;;27;Parrucchiere per uomo;;;;;;;
"VIA TEODOSIO N. 56 ; (z.d. 3)";VIA ;TEODOSIO;56;2550;3;;;Parrucchiere per signora;;;;;;;
"VIA TEODOSIO N. 74 ; (z.d. 3)";VIA ;TEODOSIO;74;2550;3;;;ACCONCIATORE;;;;;;;
"VIA TIEPOLO GIAN BATTISTA N. 1 ; (z.d. 3)";VIA ;TIEPOLO GIAN BATTISTA;1;3126;3;4;19;Parrucchiere per signora;;;;;;;
"VIA VALLAZZE N. 86 ; (z.d. 3)";VIA ;VALLAZZE;86;2250;3;2;24;Parrucchiere per signora;;;;;;;
"VIA VALLAZZE N. 101 ; (z.d. 3)";VIA ;VALLAZZE;101;2250;3;8;15;Parrucchiere per signora;;;;;;;
"VIA VANVITELLI LUIGI num.006a; (z.d. 3)";VIA ;VANVITELLI LUIGI;;3108;3;;35;Parrucchiere per signora;;;;;;;
"CSO VENTIDUE MARZO N. 30 ; (z.d. 4)";CSO ;VENTIDUE MARZO;30;3074;4;2;20;Parrucchiere per uomo;;;;;;;
"CSO VENTIDUE MARZO N. 41 ; (z.d. 4)";CSO ;VENTIDUE MARZO;41;3074;4;8;40;Parrucchiere per signora;;;;;;;
"VIA VISCONTI D'ARAGONA ALESSANDRO N. 17 ; (z.d. 3)";VIA ;VISCONTI D'ARAGONA ALESSANDRO;17;3229;3;4;30;Parrucchiere per signora;;;;;;;
"VIA VIPACCO N. 6 ; (z.d. 2)";VIA ;VIPACCO;6;2444;2;4;32;Parrucchiere per signora;;;;;;;
"VIA VERRAZZANO GIOVANNI N. 1 ; (z.d. 2)";VIA ;VERRAZZANO GIOVANNI;1;2519;2;;;ACCONCIATORE;;;;;;;
"VIA VENINI GIULIO E CORRADO N. 95 ; (z.d. 2)";VIA ;VENINI GIULIO E CORRADO;95;2258;2;1;16;Parrucchiere per uomo;;;;;;;
"VIA VENINI GIULIO E CORRADO N. 91 ; (z.d. 2)";VIA ;VENINI GIULIO E CORRADO;91;2258;2;4;21;Parrucchiere per signora;;;;;;;
"VIA VENINI GIULIO E CORRADO N. 70 ; (z.d. 2)";VIA ;VENINI GIULIO E CORRADO;70;2258;2;;45;Parrucchiere per signora;;;;;;;
"VIA VENINI GIULIO E CORRADO N. 65 ; (z.d. 2)";VIA ;VENINI GIULIO E CORRADO;65;2258;2;12;24;Parrucchiere per signora;;;;;;;
"LGO F.LLI CERVI N. 1 ; (z.d. 2)";LGO ;F.LLI CERVI;1;2218;2;;27;Parrucchiere per signora;;;;;;;
"VIA VARANINI LUIGI N. 26 ; (z.d. 2)";VIA ;VARANINI LUIGI;26;2288;2;;46;Parrucchiere per signora;;;;;;;
"VIA VARANINI LUIGI N. 12 ; (z.d. 2)";VIA ;VARANINI LUIGI;12;2288;2;;35;Parrucchiere per signora;;;;;;;
"VIA DEI TRANSITI N. 27 ; (z.d. 2)";VIA ;DEI TRANSITI;27;2284;2;;33;Parrucchiere misto;;;;;;;
"VIA DEI TRANSITI N. 1 ; (z.d. 2)";VIA ;DEI TRANSITI;1;2284;2;;35;ACCONCIATORE;;;;;;;
"VIA TERMOPILI N. 29 ; (z.d. 2)";VIA ;TERMOPILI;29;2297;2;12;18;Parrucchiere per uomo;;;;;;;
VIA MEUCCI ANTONIO N. 70 (z.d. 2);VIA ;MEUCCI ANTONIO;70;2497;2;;28;Acconciatore;;;;;;;
"VIA SANT' UGUZZONE N. 21 ; (z.d. 2)";VIA ;SANT' UGUZZONE;21;2448;2;;28;Parrucchiere per signora;;;;;;;
"VIA STAZIO CECILIO N. 11 ; (z.d. 2)";VIA ;STAZIO CECILIO;11;2280;2;2;35;Parrucchiere per signora;;;;;;;
